Marko	Marc	1,nomo
esti	ser, estar, haver-hi	1,radiko
as	verb en present	1,finaĵo
mi	jo	1,pronomo
a	adjectiu	1,finaĵo
amiko	amic	1,radiko
o	substantiu	1,finaĵo
li	ell	1,pronomo
lerni	aprendre	1,radiko
ant	present actiu	1,participo
kaj	i	1,konjunkcio
sporto	esport	1,radiko
ist	professió, activitat característica	1,sufikso
nun	ara	1,adverbo
sidi	estar assegut, seure	1,radiko
en	a, en	1,prepozicio
ĉambro	habitació	1,radiko
sur	damunt, sobre	1,prepozicio
tablo	taula	1,radiko
papero	paper	1,radiko
j	plural	1,finaĵo
libro	llibre	1,radiko
ĝi	(pronom per a animals i coses, sense distingir sexe)	1,pronomo
skribi	escriure	1,radiko
la	el/la, els/les	1,artikolo
patro	pare	1,radiko
in	femení	1,sufikso
de	de, des de	1,prepozicio
ne	no	1,partikulo
ili	ells / elles	1,pronomo
labori	treballar	1,radiko
hotelo	hotel	1,radiko
instrui	ensenyar, instruir	1,radiko
ŝi	ella	1,pronomo
havi	tenir	2,radiko
n	acusatiu	2,finaĵo
nomo	nom	2,radiko
Ana	Anna	2,nomo
juna	jove	2,radiko
bela	bonic/a, bell/a, maco/a	2,radiko
ge	(ambdós sexes inclosos)	2,prefikso
veni	venir	2,radiko
is	verb en passat	2,finaĵo
al	a, cap a, vers	2,prepozicio
hejmo	casa, llar	2,radiko
bona	bo/bona	2,radiko
voli	voler	2,radiko
u	volitiu	2,finaĵo
iri	anar	2,radiko
i	infinitiu	2,finaĵo
saluto	saludar	2,radiko
kio	què, quina cosa	2,tabelvorto
vi	tu, vos, vostè, vosaltres, vostès	2,pronomo
fari	fer	2,radiko
legi	llegir	2,radiko
sed	però	2,konjunkcio
paroli	parlar	2,radiko
kun	amb, acompanyat de	2,prepozicio
ĉu	¿, És que	2,partikulo
jes	sí	2,adverbo
ŝati	agradar, valorar, preuar, apreciar	2,radiko
nur	només	2,adverbo
trinki	beure	2,radiko
kafo	cafè	2,radiko
frato	germà	2,radiko
jen	heus aquí, vet aquí, aquí tens	2,partikulo
ankoraŭ	encara	2,adverbo
varma	calent/a	2,radiko
kuiri	cuinar	2,radiko
danki	agrair (a)	2,radiko
povi	poder	2,radiko
ankaŭ	també	2,adverbo
mal	(contrari, antònim)	2,prefikso
rigardi	mirar	2,radiko
okulo	ull	2,radiko
vidi	veure	2,radiko
ke	que	2,konjunkcio
ami	estimar, amar	2,radiko
longa	llarg/a (distància o temps)	3,radiko
e	adverbi	3,finaĵo
antaŭ	davant, abans	3,prepozicio
ej	lloc	3,sufikso
post	darrere, després	3,prepozicio
ĝoja	alegrar-se, estar content/a, feliç	3,radiko
tra	a través, de banda a banda	3,prepozicio
strato	carrer	3,radiko
tago	dia	3,radiko
kuko	pastís	3,radiko
ni	nosaltres	3,pronomo
manĝi	menjar	3,radiko
diri	dir	3,radiko
sufiĉa	suficient, bastant, prou	3,radiko
mono	diners	3,radiko
kompreni	entendre	3,radiko
ebl	possible	3,sufikso
cent	cent	3,cifero
dolaro	dòlar	3,radiko
ho	ho	3,interjekcio
riĉa	ric/a	3,radiko
kelnero	cambrer/a	3,radiko
porti	portar	3,radiko
multa	molt/a	3,radiko
nova	nou/nova	3,radiko
serĉi	buscar, cercar	3,radiko
unu	u/un/una	3,cifero
loko	lloc	3,radiko
alia	altre/a	3,radiko
vizaĝo	cara	3,radiko
fini	acabar	3,radiko
per	mitjançant, amb	3,prepozicio
forta	fort/a	3,radiko
voĉo	veu	3,radiko
okazi	succeir, esdevenir, passar, tenir lloc	3,radiko
scii	saber	3,radiko
letero	carta	4,radiko
vera	veritable, veritat	4,radiko
foto	foto	4,radiko
kiam	quan	4,tabelvorto
re	de nou, altra vegada, repetició	4,prefikso
el	de (origen, composició)	4,prepozicio
rapida	ràpid/a	4,radiko
tie	allà	4,tabelvorto
stari	estar dret, dempeus	4,radiko
Vera	Vera	4,nomo
mano	mà	4,radiko
koleri	estar enfadat	4,radiko
iĝ	esdevenir, convertir-se en, passar a ser/estar	4,sufikso
ruĝa	roig/roja	4,radiko
fali	caure	4,radiko
pardoni	perdonar	4,radiko
doni	donar	4,radiko
ricevi	rebre	4,radiko
leciono	lliçó	4,radiko
plu	més (durada en el temps)	4,adverbo
os	verb en futur	4,finaĵo
devi	haver de, deure (estar obligat a)	4,radiko
fermi	tancar	4,radiko
pordo	porta	4,radiko
sinjoro	senyor	5,radiko
vendi	vendre	5,radiko
aŭto	cotxe	5,radiko
kiu	qui, quin, quina	5,tabelvorto
plaĉi	agradar	5,radiko
demandi	preguntar	5,radiko
plej	més (superlatiu)	5,adverbo
tiu	aquell, aquella	5,tabelvorto
ĉi	(partícula que indica proximitat, junt amb un correlatiu normalment)	5,partikulo
ĉiu	cada, cadascú, tots, tothom	5,tabelvorto
pli	més (comparatiu)	5,adverbo
ol	que (comparatiu)	5,konjunkcio
tre	molt	5,adverbo
certa	cert/a, segur/a	5,radiko
kosti	costar	5,radiko
bedaŭri	lamentar, deplorar	5,radiko
ind	que val la pena	5,sufikso
aĉeti	comprar	5,radiko
ĉar	perquè	5,konjunkcio
veturi	anar (amb vehicle)	5,radiko
dum	durant, mentres	5,prepozicio
tio	allò, això, ho	5,tabelvorto
edzo	marit	5,radiko
Maja	Maia	6,nomo
et	petit	6,sufikso
ul	individu	6,sufikso
tri	tres	6,cifero
ig	causar alguna cosa	6,sufikso
sana	sà/sana	6,radiko
alta	alt/a	6,radiko
temperaturo	temperatura	6,radiko
resti	romandre, quedar-se	6,radiko
morgaŭ	demà	6,adverbo
voki	cridar (fer venir algú, avisar)	6,radiko
doktoro	doctor	6,radiko
je	a (comodí)	6,prepozicio
naŭ	nou	6,cifero
horo	hora	6,radiko
por	per a, per tal de, a fi de	6,prepozicio
helpi	ajudar	6,radiko
montri	mostrar, ensenyar	6,radiko
piedo	peu	6,radiko
vesti	vestir	6,radiko
ĉio	tot	6,tabelvorto
fine	finalment, a la fi	6,vorto
semajno	setmana	6,radiko
sub	sota	6,prepozicio
teo	te (planta)	6,radiko
mateno	matí	6,radiko
vespero	vespre	6,radiko
deziri	desitjar	6,radiko
trankvila	tranquil/tranquil·la	6,radiko
farti	estar, sentir-se, trobar-se	6,radiko
eg	gran	6,sufikso
Karlo	Carles	6,nomo
		6,
dormi	dormir	7,radiko
suno	sol (astre)	7,radiko
subita	sobtat, de sobte	7,radiko
ek	(començament d'una acció), (acció momentània)	7,prefikso
salti	saltar	7,radiko
ĉiam	sempre	7,tabelvorto
frua	d'hora, aviat	7,radiko
hodiaŭ	avui	7,adverbo
meti	posar, ficar	7,radiko
aĵ	cosa, objecte	7,sufikso
kuri	córrer	7,radiko
laŭ	segons, arran, al llarg de	7,prepozicio
homo	persona, ésser humà	7,radiko
kia	com (sentit adjectiu, no adverbial), quina mena de	7,tabelvorto
saĝa	savi/sàvia	7,radiko
knabo	noi	7,radiko
baldaŭ	aviat	7,adverbo
it	passat passiu	7,participo
nek	ni	7,konjunkcio
pensi	pensar	7,radiko
diablo	diable	7,radiko
memori	recordar	7,radiko
dimanĉo	diumenge	7,radiko
