Marko	Marek	1,nomo
esti	být	1,radiko
as	koncovka pro sloveso v přítomném čase	1,finaĵo
mi	já	1,pronomo
a	koncovka pro přídavné jméno	1,finaĵo
amiko	přítel	1,radiko
o	koncovka pro podstatné jméno	1,finaĵo
li	on	1,pronomo
lerni	učit se	1,radiko
ant	příčestí činné přítomné	1,participo
kaj	a	1,konjunkcio
sporto	sport	1,radiko
ist	povolání	1,sufikso
nun	nyní	1,adverbo
sidi	sedět	1,radiko
en	v, ve, do	1,prepozicio
ĉambro	pokoj	1,radiko
sur	na	1,prepozicio
tablo	stůl	1,radiko
papero	papír	1,radiko
j	koncovka pro množné číslo	1,finaĵo
libro	kniha	1,radiko
ĝi	ono	1,pronomo
skribi	psát	1,radiko
la	určitý člen	1,artikolo
patro	otec	1,radiko
in	ženský rod	1,sufikso
de	od	1,prepozicio
ne	ne, (zápor)	1,partikulo
ili	oni	1,pronomo
labori	pracovat	1,radiko
hotelo	hotel	1,radiko
instrui	učit	1,radiko
ŝi	ona	1,pronomo
havi	vlastnit	2,radiko
n	koncovka pro akuzativ (subjekt)	2,finaĵo
nomo	jméno	2,radiko
Ana	Anna	2,nomo
juna	mladý	2,radiko
bela	krásný	2,radiko
ge	obsahující jedince obou pohlaví	2,prefikso
veni	přijít	2,radiko
is	koncovka pro sloveso v minulém čase	2,finaĵo
al	k, ke	2,prepozicio
hejmo	domov	2,radiko
bona	dobré	2,radiko
voli	chtít	2,radiko
u	koncovka pro rozkazovací způsob	2,finaĵo
iri	jít	2,radiko
i	koncovka pro infinitiv	2,finaĵo
saluto	zdravit	2,radiko
kio	co	2,tabelvorto
vi	Ty/Vy	2,pronomo
fari	dělat	2,radiko
legi	číst	2,radiko
sed	ale	2,konjunkcio
paroli	mluvit	2,radiko
kun	s, se	2,prepozicio
ĉu	Zda (začátek otázky zjišťovací)	2,partikulo
jes	ano	2,adverbo
ŝati	mít rád	2,radiko
nur	pouze	2,adverbo
trinki	pít	2,radiko
kafo	káva	2,radiko
frato	bratr	2,radiko
jen	zde (zvolání)	2,partikulo
ankoraŭ	ještě	2,adverbo
varma	teplý	2,radiko
kuiri	vařit	2,radiko
danki	děkovat	2,radiko
povi	moci	2,radiko
ankaŭ	také	2,adverbo
mal	opak	2,prefikso
rigardi	dívat se	2,radiko
okulo	oko	2,radiko
vidi	vidět	2,radiko
ke	že	2,konjunkcio
ami	láska	2,radiko
longa	dlouhý	3,radiko
e	koncovka pro příslovce	3,finaĵo
antaŭ	před	3,prepozicio
ej	místo	3,sufikso
post	po, za (místně i časově)	3,prepozicio
ĝoja	radostný	3,radiko
tra	přes, skrz	3,prepozicio
strato	ulice	3,radiko
tago	den	3,radiko
kuko	koláč	3,radiko
ni	my	3,pronomo
manĝi	jíst	3,radiko
diri	říct	3,radiko
sufiĉa	dostatečný	3,radiko
mono	peníze	3,radiko
kompreni	rozumět	3,radiko
ebl	možnost	3,sufikso
cent	sto	3,cifero
dolaro	dolar	3,radiko
ho	oh	3,interjekcio
riĉa	bohatý	3,radiko
kelnero	číšník	3,radiko
porti	nést	3,radiko
multa	mnoho	3,radiko
nova	nová	3,radiko
serĉi	hledat	3,radiko
unu	jedna	3,cifero
loko	místo	3,radiko
alia	jiný	3,radiko
vizaĝo	obličej	3,radiko
fini	ukončit	3,radiko
per	pomocí, (7. pád)	3,prepozicio
forta	silný	3,radiko
voĉo	hlas	3,radiko
okazi	stát se	3,radiko
scii	znát	3,radiko
letero	dopis	4,radiko
vera	pravda	4,radiko
foto	foto	4,radiko
kiam	kdy, když	4,tabelvorto
re	znovu, opakování	4,prefikso
el	z, ze	4,prepozicio
rapida	rychle	4,radiko
tie	tam	4,tabelvorto
stari	stát	4,radiko
Vera	Věra	4,nomo
mano	ruka	4,radiko
koleri	vztek	4,radiko
iĝ	stát se	4,sufikso
ruĝa	červená	4,radiko
fali	padat	4,radiko
pardoni	odpustit	4,radiko
doni	dát	4,radiko
ricevi	dostat	4,radiko
leciono	lekce	4,radiko
plu	dále, více	4,adverbo
os	koncovka pro sloveso v budoucím čase	4,finaĵo
devi	muset	4,radiko
fermi	zavřít	4,radiko
pordo	dveře	4,radiko
sinjoro	gentleman, Pan.	5,radiko
vendi	prodat	5,radiko
aŭto	auto	5,radiko
kiu	kdo, který	5,tabelvorto
plaĉi	líbit se	5,radiko
demandi	požádat	5,radiko
plej	nej (3. stupeň přídavných jmen)	5,adverbo
tiu	ten	5,tabelvorto
ĉi	(vyjádření blízkosti)	5,partikulo
ĉiu	každý, veškerý	5,tabelvorto
pli	víc (2. stupeň přídavných jmen)	5,adverbo
ol	než	5,konjunkcio
tre	velmi	5,adverbo
certa	jistý	5,radiko
kosti	stát (o ceně)	5,radiko
bedaŭri	litovat	5,radiko
ind	hodný (čeho)	5,sufikso
aĉeti	koupit	5,radiko
ĉar	protože, kvůli	5,konjunkcio
veturi	cestovat	5,radiko
dum	během	5,prepozicio
tio	to	5,tabelvorto
edzo	manžel	5,radiko
