Marko	Marko	1,nomo
esti	være	1,radiko
as	Verbum præsens / Udsagsnord i nutid	1,finaĵo
mi	jeg	1,pronomo
a	Adjektiv / Tillægsord	1,finaĵo
amiko	ven	1,radiko
o	Substantiv / Navneord	1,finaĵo
li	han	1,pronomo
lerni	lære	1,radiko
ant	nutid aktiv	1,participo
kaj	og	1,konjunkcio
sporto	sport	1,radiko
ist	profession, stærk hobbyist	1,sufikso
nun	nu	1,adverbo
sidi	sidde	1,radiko
en	i	1,prepozicio
ĉambro	værelse, rum	1,radiko
sur	på	1,prepozicio
tablo	bord	1,radiko
papero	papir	1,radiko
j	Pluralis / Flertal	1,finaĵo
libro	bog	1,radiko
ĝi	den, det	1,pronomo
skribi	skrive	1,radiko
la	den, det	1,artikolo
patro	far	1,radiko
in	kvindelig	1,sufikso
de	af, fra	1,prepozicio
ne	nej, ikke	1,partikulo
ili	de	1,pronomo
labori	arbejde	1,radiko
hotelo	hotel	1,radiko
instrui	lære, undervise	1,radiko
ŝi	hun	1,pronomo
havi	have	2,radiko
n	Akkusativ	2,finaĵo
nomo	navn	2,radiko
Ana	Ana	2,nomo
juna	ung	2,radiko
bela	smuk	2,radiko
ge	af flere køn	2,prefikso
veni	komme	2,radiko
is	Verbum præterium / Udsagsnord i datid	2,finaĵo
al	til, i retning af	2,prepozicio
hejmo	hjem	2,radiko
bona	god	2,radiko
voli	ville	2,radiko
u	Verbum imperativ / Udsagnsord i bydeform	2,finaĵo
iri	tage til	2,radiko
i	Infinitiv / Navneform	2,finaĵo
saluto	hej	2,radiko
kio	hvad	2,tabelvorto
vi	du, I	2,pronomo
fari	gøre, lave	2,radiko
legi	læse	2,radiko
sed	men	2,konjunkcio
paroli	tale	2,radiko
kun	med	2,prepozicio
ĉu	(starter spørgsmål), om, hvorvidt	2,partikulo
jes	ja	2,adverbo
ŝati	kunne lide	2,radiko
nur	kun	2,adverbo
trinki	drikke	2,radiko
kafo	kaffe	2,radiko
frato	bror	2,radiko
jen	her er, værsågod	2,partikulo
ankoraŭ	stadig, endnu	2,adverbo
varma	varm	2,radiko
kuiri	tilberede mad, lave mad	2,radiko
danki	takke	2,radiko
povi	kunne	2,radiko
ankaŭ	også	2,adverbo
mal	modsat	2,prefikso
rigardi	kigge på	2,radiko
okulo	øje	2,radiko
vidi	se	2,radiko
ke	at	2,konjunkcio
ami	kærlighed	2,radiko
longa	lang	3,radiko
e	Adverbium / Biord	3,finaĵo
antaŭ	før, foran	3,prepozicio
ej	sted	3,sufikso
post	efter	3,prepozicio
ĝoja	glædelig	3,radiko
tra	gennem	3,prepozicio
strato	gade	3,radiko
tago	dag	3,radiko
kuko	kage	3,radiko
ni	vi	3,pronomo
manĝi	spise	3,radiko
diri	sige	3,radiko
sufiĉa	nok	3,radiko
mono	penge	3,radiko
kompreni	forstå	3,radiko
ebl	mulighed	3,sufikso
cent	hundrede	3,cifero
dolaro	dollar	3,radiko
ho	oh	3,interjekcio
riĉa	rig	3,radiko
kelnero	tjener	3,radiko
porti	bære	3,radiko
multa	mange	3,radiko
nova	ny	3,radiko
serĉi	søge	3,radiko
unu	én, ét, en, et	3,cifero
loko	sted	3,radiko
alia	anden	3,radiko
vizaĝo	ansigt	3,radiko
fini	færdiggøre	3,radiko
per	ved, per, med	3,prepozicio
forta	stærk	3,radiko
voĉo	stemme	3,radiko
okazi	ske	3,radiko
scii	vide	3,radiko
letero	brev	4,radiko
vera	sand	4,radiko
foto	foto	4,radiko
kiam	hvornår	4,tabelvorto
re	igen, gen-	4,prefikso
el	fra, ud af, af	4,prepozicio
rapida	hurtig	4,radiko
tie	der	4,tabelvorto
stari	stå	4,radiko
Vera	Vera	4,nomo
mano	hånd	4,radiko
koleri	vrede	4,radiko
iĝ	blive, forblive	4,sufikso
ruĝa	rød	4,radiko
fali	falde	4,radiko
pardoni	tilgive, undskylde	4,radiko
doni	give	4,radiko
ricevi	modtage	4,radiko
leciono	lektion	4,radiko
plu	endnu	4,adverbo
os	Verbum futurum / Udsagsnord i fremtid	4,finaĵo
devi	skulle, være nødt til	4,radiko
fermi	lukke	4,radiko
pordo	dør	4,radiko
sinjoro	herre, Hr	5,radiko
vendi	sælge	5,radiko
aŭto	bil	5,radiko
kiu	hvem, hvilken	5,tabelvorto
plaĉi	tilfredsstille	5,radiko
demandi	spørge	5,radiko
plej	mest (superlativ)	5,adverbo
tiu	den person, den der	5,tabelvorto
ĉi	denne	5,partikulo
ĉiu	alle, hver	5,tabelvorto
pli	mere (komparativ)	5,adverbo
ol	end	5,konjunkcio
tre	meget	5,adverbo
certa	sikker	5,radiko
kosti	koste	5,radiko
bedaŭri	beklage, fortryde	5,radiko
ind	værdig af	5,sufikso
aĉeti	købe	5,radiko
ĉar	fordi, for	5,konjunkcio
veturi	rejse	5,radiko
dum	under, undervejs, mens	5,prepozicio
tio	den	5,tabelvorto
edzo	mand, ægtemand	5,radiko
Maja	Maja	6,nomo
et	lille, diminutiv	6,sufikso
ul	person	6,sufikso
tri	tre	6,cifero
ig	forårsage noget	6,sufikso
sana	rask	6,radiko
alta	høj	6,radiko
temperaturo	temperatur	6,radiko
resti	blive	6,radiko
morgaŭ	i morgen	6,adverbo
voki	ringe	6,radiko
doktoro	doktor	6,radiko
je	af, med, i	6,prepozicio
naŭ	ni	6,cifero
horo	time, klokken	6,radiko
por	for	6,prepozicio
helpi	hjælpe	6,radiko
montri	vise	6,radiko
piedo	fod	6,radiko
vesti	have på	6,radiko
ĉio	alt	6,tabelvorto
fine	til sidst	6,vorto
semajno	uge	6,radiko
sub	under, nedenunder	6,prepozicio
teo	te	6,radiko
mateno	morgen	6,radiko
vespero	aften	6,radiko
deziri	ønske	6,radiko
trankvila	rolig	6,radiko
farti	have det, føle sig	6,radiko
eg	stor, augmentativ	6,sufikso
Karlo	Karlo	6,nomo
hm	hm	6,interjekcio
dormi	sove	7,radiko
suno	sol	7,radiko
subita	pludselig	7,radiko
ek	begyndelse af handling, pludselighed	7,prefikso
salti	hoppe	7,radiko
ĉiam	altid	7,tabelvorto
frua	tidlig	7,radiko
hodiaŭ	i dag	7,adverbo
meti	lægge	7,radiko
aĵ	ting, konkret manifestation	7,sufikso
kuri	løbe	7,radiko
laŭ	langs, ifølge	7,prepozicio
homo	menneske	7,radiko
