Marko	Marko	1,nomo
esti	sein (Verb, Wortstamm)	1,radiko
as	Endung für Verb in der Gegenwart	1,finaĵo
mi	ich	1,pronomo
a	Adjektiv-Endung	1,finaĵo
amiko	Freund	1,radiko
o	Substantiv-Endung	1,finaĵo
li	er	1,pronomo
lerni	lernen	1,radiko
ant	Aktiv-Partizip / Verlaufsform, Gegenwart	1,participo
kaj	und	1,konjunkcio
sporto	Sport	1,radiko
ist	Beruf, Weltanschauung	1,sufikso
nun	nun, jetzt	1,adverbo
sidi	sitzen	1,radiko
en	in	1,prepozicio
ĉambro	Zimmer	1,radiko
sur	auf	1,prepozicio
tablo	Tisch	1,radiko
papero	Papier	1,radiko
j	Mehrzahl-Endung	1,finaĵo
libro	Buch	1,radiko
ĝi	es	1,pronomo
skribi	schreiben	1,radiko
la	der, die, das	1,artikolo
patro	Vater	1,radiko
in	weiblich	1,sufikso
de	von	1,prepozicio
ne	nein, nicht	1,partikulo
ili	sie (Mehrzahl)	1,pronomo
labori	arbeiten	1,radiko
hotelo	Hotel	1,radiko
instrui	unterrichten	1,radiko
ŝi	sie	1,pronomo
havi	haben	2,radiko
n	Akkusativ-Endung	2,finaĵo
nomo	Name	2,radiko
Ana	Ana	2,nomo
juna	jung	2,radiko
bela	schön	2,radiko
ge	Personen beiderlei Geschlechts	2,prefikso
veni	kommen	2,radiko
is	Endung für Verb in der Vergangenheit	2,finaĵo
al	nach, zu	2,prepozicio
hejmo	Heim, Zuhause	2,radiko
bona	gut	2,radiko
voli	wollen	2,radiko
u	Endung für Verb im Imperativ	2,finaĵo
iri	gehen	2,radiko
i	Infinitiv-Endung	2,finaĵo
saluto	Gruß	2,radiko
kio	was	2,tabelvorto
vi	du	2,pronomo
fari	machen, tun	2,radiko
legi	lesen	2,radiko
sed	aber	2,konjunkcio
paroli	sprechen	2,radiko
kun	mit	2,prepozicio
ĉu	ob; kennzeichnet auch einfache Fragesätze	2,partikulo
jes	ja	2,adverbo
ŝati	mögen, gern haben	2,radiko
nur	nur, bloß	2,adverbo
trinki	trinken	2,radiko
kafo	Kaffee	2,radiko
frato	Bruder	2,radiko
jen	da ist	2,partikulo
ankoraŭ	noch	2,adverbo
