Marko	Marko	1,nomo
esti	ser, estar, haber	1,radiko
as	Verbo en presente	1,finaĵo
mi	yo	1,pronomo
a	Adjetivo	1,finaĵo
amiko	amigo	1,radiko
o	Sustantivo	1,finaĵo
li	él	1,pronomo
lerni	aprender	1,radiko
ant	presente activo	1,participo
kaj	y	1,konjunkcio
sporto	deporte	1,radiko
ist	profesión, algo habitual	1,sufikso
nun	ahora	1,adverbo
sidi	estar sentado	1,radiko
en	en	1,prepozicio
ĉambro	habitación	1,radiko
sur	en (encima)	1,prepozicio
tablo	mesa	1,radiko
papero	papel	1,radiko
j	Plural	1,finaĵo
libro	libro	1,radiko
ĝi	ello	1,pronomo
skribi	escribir	1,radiko
la	el/la, los/las	1,artikolo
patro	padre	1,radiko
in	femenino	1,sufikso
de	de, desde	1,prepozicio
ne	no	1,partikulo
ili	ellos/as	1,pronomo
labori	trabajar	1,radiko
hotelo	hotel	1,radiko
instrui	enseñar	1,radiko
ŝi	ella	1,pronomo
havi	tener	2,radiko
n	Acusativo	2,finaĵo
nomo	nombre	2,radiko
Ana	Ana	2,nomo
juna	joven	2,radiko
bela	bonito/a, bello/a, lindo/a	2,radiko
ge	(ambos sexos)	2,prefikso
veni	venir	2,radiko
is	Verbo en pasado	2,finaĵo
al	a	2,prepozicio
hejmo	casa	2,radiko
bona	bueno/a	2,radiko
voli	querer	2,radiko
u	Volitivo	2,finaĵo
iri	ir	2,radiko
i	Infinitivo	2,finaĵo
saluto	saludo	2,radiko
kio	qué	2,tabelvorto
vi	tú, vos, usted, vosotros/as, ustedes	2,pronomo
fari	hacer	2,radiko
legi	leer	2,radiko
sed	pero	2,konjunkcio
paroli	hablar	2,radiko
kun	con	2,prepozicio
ĉu	¿, ¿Acaso	2,partikulo
jes	sí	2,adverbo
ŝati	gustar	2,radiko
nur	solo	2,adverbo
trinki	beber	2,radiko
kafo	café	2,radiko
frato	hermano	2,radiko
jen	he aquí, aquí está, aquí tienes	2,partikulo
ankoraŭ	todavía	2,adverbo
varma	caliente	2,radiko
kuiri	cocinar	2,radiko
danki	agradecer (a)	2,radiko
povi	poder	2,radiko
ankaŭ	también	2,adverbo
mal	(contrario, siendo antónimos absolutos)	2,prefikso
rigardi	mirar	2,radiko
okulo	ojo	2,radiko
vidi	ver	2,radiko
ke	que	2,konjunkcio
ami	amar	2,radiko
longa	largo/a	3,radiko
e	Adverbio	3,finaĵo
antaŭ	ante, antes de, delante de	3,prepozicio
ej	lugar	3,sufikso
post	después de, detrás de	3,radiko
ĝoja	contento/a	3,radiko
tra	a través de, por	3,prepozicio
strato	calle	3,radiko
tago	día	3,radiko
kuko	pastel, torta	3,radiko
ni	nosotros/as	3,pronomo
manĝi	comer	3,radiko
diri	decir	3,radiko
sufiĉa	suficiente, bastantes	3,radiko
mono	dinero	3,radiko
kompreni	entender	3,radiko
ebl	posibilidad	3,sufikso
cent	cien	3,cifero
dolaro	dólar	3,radiko
ho	oh	3,interjekcio
riĉa	rico/a	3,radiko
kelnero	camarero/a	3,radiko
porti	llevar, traer	3,radiko
multa	mucho/a	3,radiko
nova	nuevo	3,radiko
serĉi	buscar	3,radiko
unu	uno	3,cifero
loko	lugar	3,radiko
alia	otro/a	3,radiko
vizaĝo	cara	3,radiko
fini	acabar, terminar	3,radiko
per	por medio de, con	3,prepozicio
forta	fuerte	3,radiko
voĉo	voz	3,radiko
okazi	ocurrir, pasar	3,radiko
scii	saber	3,radiko
letero	carta	4,radiko
vera	verdad	4,radiko
foto	fotografía	4,radiko
kiam	cuándo, cuando	4,tabelvorto
re	de nuevo, otra vez	4,prefikso
el	de	4,prepozicio
rapida	rápido/a	4,radiko
tie	ahí, allí, allá	4,tabelvorto
stari	permanecer de pie	4,radiko
Vera	Vera	4,nomo
mano	mano	4,radiko
koleri	estar enfadado	4,radiko
iĝ	volverse en, convertirse en	4,sufikso
ruĝa	rojo/a	4,radiko
fali	caer	4,radiko
pardoni	perdonar	4,radiko
doni	dar	4,radiko
ricevi	recibir	4,radiko
leciono	lección, clase	4,radiko
plu	más (en el tiempo)	4,adverbo
os	Verbo en futuro	4,finaĵo
devi	tener que, deber	4,radiko
fermi	cerrar	4,radiko
pordo	puerta	4,radiko
sinjoro	señor	5,radiko
vendi	vender	5,radiko
aŭto	coche	5,radiko
kiu	quién, cuál	5,tabelvorto
plaĉi	agradar, gustar	5,radiko
demandi	preguntar	5,radiko
plej	más (superlativo)	5,adverbo
tiu	ese, esa	5,tabelvorto
ĉi	(partícula aproximativa, con correlativo normalmente)	5,partikulo
ĉiu	cada uno, todos, todos los	5,tabelvorto
pli	más (comparativo)	5,adverbo
ol	que (comparativo)	5,konjunkcio
tre	muy	5,adverbo
certa	cierto/a, seguro/a	5,radiko
kosti	costar	5,radiko
bedaŭri	lamentar	5,radiko
ind	que vale para	5,sufikso
aĉeti	comprar	5,radiko
ĉar	porque	5,konjunkcio
veturi	ir (con medio de transporte)	5,radiko
dum	durante, mediante	5,prepozicio
tio	eso	5,tabelvorto
edzo	esposo, marido	5,radiko
Maja	Maja	6,nomo
et	diminutivo	6,sufikso
ul	individuo	6,sufikso
tri	tres	6,cifero
ig	causar algo	6,sufikso
sana	sano/a	6,radiko
alta	alto/a	6,radiko
temperaturo	temperatura	6,radiko
resti	quedarse	6,radiko
morgaŭ	mañana	6,adverbo
voki	llamar	6,radiko
doktoro	doctor	6,radiko
je	a* (comodín)	6,prepozicio
naŭ	nueve	6,cifero
horo	horo	6,radiko
por	para, por	6,prepozicio
helpi	ayudar	6,radiko
montri	mostrar, enseñar	6,radiko
piedo	pie	6,radiko
vesti	vestir	6,radiko
ĉio	todo	6,tabelvorto
fine	finalmente	6,vorto
semajno	semana	6,radiko
sub	debajo de, debajo	6,prepozicio
teo	té	6,radiko
mateno	mañana	6,radiko
vespero	tarde	6,radiko
deziri	desear	6,radiko
trankvila	tranquilo/a	6,radiko
farti	estar, sentirse	6,radiko
eg	aumentativo	6,sufikso
Karlo	Karlo	6,nomo
		6,
dormi	dormir	7,radiko
suno	sol	7,radiko
subita	súbito	7,radiko
ek	(comienzo de acción), (acción momentánea)	7,prefikso
salti	saltar	7,radiko
ĉiam	siempre	7,tabelvorto
frua	temprano/a	7,radiko
hodiaŭ	hoy	7,adverbo
meti	poner, meter	7,radiko
aĵ	cosa	7,sufikso
kuri	correr	7,radiko
laŭ	según	7,prepozicio
homo	persona, ser humano	7,radiko
kia	qué, qué tipo de	7,tabelvorto
saĝa	sabio/a	7,radiko
knabo	chico	7,radiko
baldaŭ	pronto	7,adverbo
it	pasado pasivo	7,participo
nek	ni	7,konjunkcio
pensi	pensar	7,radiko
diablo	diablo	7,radiko
memori	recordar	7,radiko
dimanĉo	domingo	7,radiko
raporti	informar	8,radiko
noto	nota	8,radiko
aĉ	baja calidad	8,sufikso
kapo	cabeza	8,radiko
kiom	cuánto	8,tabelvorto
da	de (cantidad)	8,prepozicio
ĉe	en, por	8,prepozicio
ludi	jugar	8,radiko
mem	self	8,partikulo
tiom	tanto, tan	8,tabelvorto
kvankam	aunque	8,konjunkcio
tiam	entonces	8,tabelvorto
aŭdi	oír	8,radiko
vorto	palabra	8,radiko
tuj	en seguida, inmediatamente	8,adverbo
respondi	responder	8,radiko
kara	querido/a	8,radiko
problemo	problema	8,radiko
pri	en cuanto a, sobre	8,prepozicio
muziko	música	8,radiko
ridi	reír	8,radiko
tamen	sin embargo	8,adverbo
Petro	Petro	9,nomo
Maria	Maria	9,nomo
vojaĝi	viajar	9,radiko
lando	país, territorio	9,radiko
libera	libre	9,radiko
tempo	tiempo	9,radiko
decidi	decidir	9,radiko
italio	Italia	9,radiko
urbo	ciudad	9,radiko
feliĉa	feliz	9,radiko
kie	dónde, donde	9,tabelvorto
forgesi	olvidar	9,radiko
esperi	esperar (esperanza)	9,radiko
us	Verbo en condicional	9,finaĵo
komenci	empezar	9,radiko
jam	ya	9,adverbo
vagono	vagón	9,radiko
ar	conjunto	9,sufikso
nenio	nada	9,tabelvorto
sekreto	secreto	9,radiko
onklo	tío	9,radiko
Bonifacio	Bonifacio	9,nomo
plena	lleno/a	9,radiko
um	significado indefinido	9,sufikso
sia	pronombre reflexivo	9,radiko
uzi	usar	9,radiko
domo	casa	9,radiko
ad	acción continuada	9,sufikso
atendi	esperar	9,radiko
do	por lo tanto	9,adverbo
kial	por qué	9,tabelvorto
neniam	nunca	9,tabelvorto
kiel	cómo, como	10,tabelvorto
pasi	pasar	10,radiko
naski	parir	10,radiko
kelka	alguno/a/os/as	10,radiko
familio	familiar	10,radiko
an	miembro, partidario	10,sufikso
iom	un poco	10,tabelvorto
trovi	encontrar	10,radiko
almenaŭ	al menos	10,adverbo
ordo	ordenar	10,radiko
io	algo	10,tabelvorto
manki	faltar	10,radiko
lakto	leche	10,radiko
necesa	necesario/a	10,radiko
anstataŭ	en vez de	10,prepozicio
intereso	interesar	10,radiko
ekskurso	excursión	10,radiko
klubo	club	10,radiko
ĵeti	lanzar	10,radiko
ia	algún tipo de	10,tabelvorto
uj	contenedor, árbol, país	10,sufikso
ĝusta	correcto/a	10,radiko
		10,
inter	entre	10,prepozicio
sama	mismo/a	10,radiko
fojo	vez	10,radiko
rajti	tener derecho (a)	10,radiko
proponi	proponer	10,radiko
du	dos	10,cifero
parto	parte	10,radiko
sukceso	tener éxito	10,radiko
iu	alguien	10,tabelvorto
ideo		10,novaj
tro	demasiado	10,adverbo
ec	cualidad abstracta	10,sufikso
reala	real	10,radiko
silento	callar	10,radiko
daŭri	durar	10,radiko
nu	na	10,interjekcio
minuto	minuto	10,radiko
telefono	teléfono	10,radiko
viziti	visitar	10,radiko
dolĉa	dulce	10,radiko
atenti	estar atento, prestar atención	10,radiko
dika	gordo	10,radiko
ŝanĝi	cambiar	10,radiko
opinii	opinar	10,radiko
sen	sin	10,prepozicio
sola	solo/a	10,radiko
Veneci	Venecia	11,radiko
Sankt-Mark	San Mark	11,nomo
placo	plaza	11,radiko
milito	guerra	11,radiko
maro	mar	11,radiko
ŝipo	barco	11,radiko
gondolo	góndola	11,radiko
movi	mover	11,radiko
mezo	medio/a	11,radiko
proksima	cercano/a	11,radiko
granda	grande, gran	11,radiko
oni	se, uno, la gente	11,pronomo
facila	fácil	11,radiko
lumo	luz	11,radiko
flanko	lado	11,radiko
Stefan	Stefan	11,nomo
krii	gritar	11,radiko
turko	turco/a	11,radiko
renkonti	encontrarse (a)	11,radiko
sekvi	seguir	11,radiko
Pietro	Pietro	11,nomo
koni	conocer	11,radiko
akvo	agua	11,radiko
tiel	así, tan	11,tabelvorto
Ĝorĝo	Ĝorĝo	11,nomo
preni	coger	11,radiko
estro	jefe	11,sufikso
preskaŭ	casi	11,adverbo
morti	morir	11,radiko
grava	importante	11,radiko
Ĝino	Ĝino	11,nomo
halti	parar(se)	11,radiko
apud	cerca de	11,prepozicio
dek	diez	11,cifero
jaro	año	11,radiko
koloro	color	11,radiko
Jakopo	Jacob	11,nomo
tial	por esa razón, por ese motivo	11,tabelvorto
timi	temer, tener miedo	11,radiko
sendi	enviar	11,radiko
doĝo	dux	11,radiko
bezoni	necesitar	11,radiko
pagi	pagar	11,radiko
er	fragmento, pieza pequeña, partícula	11,sufikso
afero	asunto, cosa	11,radiko
se	si (condicional)	11,konjunkcio
pano	pan	11,radiko
Don Kamilo	Don Camilo	11,nomo
ĝis	hasta	11,prepozicio
S-ro	Sr.	12,mallongigo
Pipelbom	Pipelbom	12,nomo
peza	pesar	12,radiko
larĝa	ancho	12,radiko
korpo	cuerpo	12,radiko
aspekto	parecer (aspecto)	12,radiko
rolo	papel	12,radiko
fakto	hecho	12,radiko
respekti	respetar	12,radiko
kontenta	contento	12,radiko
ofte	a menudo	12,radiko
utila	útil	12,radiko
prezenti	presentar	12,radiko
ĝeni	molestar	12,radiko
nokto	noche	12,radiko
arbo	árbol	12,radiko
ĉefo	jefe	12,radiko
vojo	camino	12,radiko
ekster	fuera de	12,prepozicio
sovaĝa	salvaje	12,radiko
bruo	ruido	12,radiko
krom	además de, aparte de (con negación)	12,prepozicio
tuŝi	tocar	12,radiko
naturo	naturaleza	12,radiko
ĝenerali	general	12,radiko
seki	seco/a	12,radiko
paŝi	paso	12,radiko
vivi	vivir	12,radiko
dolori	doler	12,radiko
agrabla	agradable	12,radiko
ju	cuanto	12,partikulo
kastelo	castillo	12,radiko
des	tanto	12,partikulo
Adriano	Adriano	12,nomo
viro	hombre	12,radiko
kapabla	capaz	12,radiko
industrio	industria	12,radiko
polico	policía	12,radiko
persono	persona	12,radiko
simila	similar	12,radiko
lasta	último	12,radiko
laŭta	fuerte	12,radiko
orelo	oreja	12,radiko
momento	momento	12,radiko
ambaŭ	ambos/as	12,adverbo
direkti	dirección	12,radiko
zorgi	preocuparse, encargarse	12,radiko
situacio	situación	12,radiko
branĉo	rama	12,radiko
rekta	directo/a	12,radiko
besto	animal	12,radiko
promeni	pasear	12,radiko
kavo	cavidad	12,radiko
odoro	oler	12,radiko
preta	listo, preparado	12,radiko
ajn	cualquier	12,partikulo
efektiva	efectivo	12,radiko
miri	maravillarse	12,radiko
koro	corazón	12,radiko
ŝajni	parecer	12,radiko
supri	arriba	12,radiko
buŝo	boca	12,radiko
provi	intentar	12,radiko
kapti	atrapar, capturar	12,radiko
lampo	lámpara	12,radiko
paco	paz	12,radiko
formo	forma	12,radiko
teni	sostener	12,radiko
sono	sonar	12,radiko
aŭtoritato	autoridad	12,radiko
nuuuu	nuuuu	12,interjekcio
eee	eee	12,interjekcio
fuŝi	hacer una chapuza	12,radiko
klara	claro	12,radiko
eĉ	incluso, aun	12,adverbo
tono	nota	12,radiko
ha	ha	12,interjekcio
bieno	terreno	12,radiko
grafo	conde	12,radiko
monto	montaña	12,radiko
kalva	calvo/a	12,radiko
inviti	invitar	12,radiko
peti	pedir	12,radiko
teroro	terror	12,radiko
kontroli	controlar, comprobar	12,radiko
ĉirkaŭ	alrededor de	12,prepozicio
akcepti	aceptar	12,radiko
perdi	perder	12,radiko
