Marko	Marc	1,nomo
esti	être	1,radiko
as	Verbe au présent	1,finaĵo
mi	je	1,pronomo
a	Adjectif	1,finaĵo
amiko	ami	1,radiko
o	Nom	1,finaĵo
li	il	1,pronomo
lerni	apprendre	1,radiko
ant	présent actif	1,participo
kaj	et	1,konjunkcio
sporto	sport	1,radiko
ist	profession	1,sufikso
nun	maintenant	1,adverbo
sidi	asseoir	1,radiko
en	dans, en	1,prepozicio
ĉambro	pièce (d'un logement)	1,radiko
sur	sur	1,prepozicio
tablo	table	1,radiko
papero	papier	1,radiko
j	Pluriel	1,finaĵo
libro	livre	1,radiko
ĝi	il	1,pronomo
skribi	écrire	1,radiko
la	le, la, les	1,artikolo
patro	père	1,radiko
in	féminin	1,sufikso
de	de, depuis	1,prepozicio
ne	non, ne	1,partikulo
ili	ils	1,pronomo
labori	travailler	1,radiko
hotelo	hôtel	1,radiko
instrui	enseigner	1,radiko
ŝi	elle	1,pronomo
havi	avoir	2,radiko
n	Accusatif	2,finaĵo
nomo	nom	2,radiko
Ana	Anne	2,nomo
juna	jeune	2,radiko
bela	beau	2,radiko
ge	relatif aux deux sexes	2,prefikso
veni	venir	2,radiko
is	Verbe au passé	2,finaĵo
al	à, dans la direction de	2,prepozicio
hejmo	foyer	2,radiko
bona	bon	2,radiko
voli	vouloir	2,radiko
u	Verbe à l'imperatif	2,finaĵo
iri	aller	2,radiko
i	Infinitif	2,finaĵo
saluto	salut	2,radiko
kio	qui	2,tabelvorto
vi	tu, vous	2,pronomo
fari	faire	2,radiko
legi	lire	2,radiko
sed	mais	2,konjunkcio
paroli	parler	2,radiko
kun	avec	2,prepozicio
ĉu	est-ce-que (commence une question fermée)	2,partikulo
jes	oui	2,adverbo
ŝati	aimer	2,radiko
nur	seulement	2,adverbo
trinki	boire	2,radiko
kafo	café	2,radiko
frato	frère	2,radiko
jen	voici	2,partikulo
ankoraŭ	encore, toujours	2,adverbo
varma	chaud	2,radiko
kuiri	cuisiner	2,radiko
danki	remercier	2,radiko
povi	pouvoir	2,radiko
ankaŭ	aussi	2,adverbo
mal	opposition	2,prefikso
rigardi	regarder	2,radiko
okulo	oeil	2,radiko
vidi	voir	2,radiko
ke	que	2,konjunkcio
ami	aimer	2,radiko
longa	long	3,radiko
e	Adverbe	3,finaĵo
antaŭ	avant, devant	3,prepozicio
ej	lieu	3,sufikso
post	après	3,prepozicio
ĝoja	joie	3,radiko
tra	par	3,prepozicio
strato	rue	3,radiko
tago	jour	3,radiko
kuko	gâteau	3,radiko
ni	nous	3,pronomo
manĝi	manger	3,radiko
diri	dire	3,radiko
sufiĉa	suffisant	3,radiko
mono	argent, monnaie	3,radiko
kompreni	comprendre	3,radiko
ebl	possibilité	3,sufikso
cent	cent	3,cifero
dolaro	dollar	3,radiko
ho	oh	3,interjekcio
riĉa	riche	3,radiko
kelnero	serveur	3,radiko
porti	faire attention	3,radiko
multa	beaucoup	3,radiko
nova	nouveau	3,radiko
serĉi	chercher	3,radiko
unu	un	3,cifero
loko	placer	3,radiko
alia	autre	3,radiko
vizaĝo	visage	3,radiko
fini	finir	3,radiko
per	au moyen de, avec	3,prepozicio
forta	fort	3,radiko
voĉo	voix	3,radiko
okazi	avoir lieu	3,radiko
scii	savoir	3,radiko
letero	lettre	4,radiko
vera	vrai	4,radiko
foto	photo	4,radiko
kiam	quand	4,tabelvorto
re	de nouveau, re-	4,prefikso
el	de, hors de	4,prepozicio
rapida	rapide	4,radiko
tie	là	4,tabelvorto
stari	être debout	4,radiko
Vera	Vera	4,nomo
mano	main	4,radiko
koleri	colère	4,radiko
iĝ	devenir	4,sufikso
ruĝa	rouge	4,radiko
fali	tomber	4,radiko
pardoni	pardonner	4,radiko
doni	donner	4,radiko
ricevi	recevoir	4,radiko
leciono	leçon	4,radiko
plu	encore	4,adverbo
os	Verbe au futur	4,finaĵo
devi	devoir	4,radiko
fermi	fermer	4,radiko
pordo	porte	4,radiko
sinjoro	monsieur, M.	5,radiko
vendi	vendre	5,radiko
aŭto	voiture	5,radiko
kiu	qui	5,tabelvorto
plaĉi	plaire	5,radiko
demandi	demander	5,radiko
plej	le plus (Superlatif)	5,adverbo
tiu	cette personne	5,tabelvorto
ĉi	-ci	5,partikulo
ĉiu	tout le monde, tous	5,tabelvorto
pli	plus (Comparatif)	5,adverbo
ol	que (plus/moins… que)	5,konjunkcio
tre	très	5,adverbo
certa	certain	5,radiko
kosti	coûter	5,radiko
bedaŭri	regretter	5,radiko
ind	digne de	5,sufikso
aĉeti	acheter	5,radiko
ĉar	parce que, pour (que)	5,konjunkcio
veturi	conduire	5,radiko
dum	pendant	5,prepozicio
tio	celui, qui	5,tabelvorto
edzo	mari	5,radiko
Maja	Maja	6,nomo
et	petit, diminutif	6,sufikso
ul	personne	6,sufikso
tri	trois	6,cifero
ig	faire quelque chose	6,sufikso
sana	santé	6,radiko
alta	haut	6,radiko
