Marko	מרקו	1,nomo
esti	להיות	1,radiko
as	סיומת לזמן הווה	1,finaĵo
mi	אני	1,pronomo
a	סיומת לתואר שם	1,finaĵo
amiko	חבר	1,radiko
o	סיומת לשם עצם	1,finaĵo
li	הוא	1,pronomo
lerni	ללמוד	1,radiko
ant	סיומת הווה פעיל	1,participo
kaj	ו, וגם	1,konjunkcio
sporto	ספורט	1,radiko
ist	סיומת לציון מקצוע	1,sufikso
nun	עכשיו	1,adverbo
sidi	לשבת	1,radiko
en	ב	1,prepozicio
ĉambro	חדר	1,radiko
sur	על	1,prepozicio
tablo	שולחן	1,radiko
papero	נייר	1,radiko
j	סיומת לרבים	1,finaĵo
libro	ספר	1,radiko
ĝi	זה	1,pronomo
skribi	לכתוב	1,radiko
la	הא הידיעה	1,artikolo
patro	אב	1,radiko
in	סיומת לנקבה	1,sufikso
de	של, מ	1,prepozicio
ne	לא	1,partikulo
ili	הם	1,pronomo
labori	לעבוד	1,radiko
hotelo	מלון	1,radiko
instrui	ללמד	1,radiko
ŝi	היא	1,pronomo
havi	להיות בעל רכוש או דבר אחר	2,radiko
n	סיומת למושא ישיר	2,finaĵo
nomo	שם	2,radiko
Ana	אנה	2,nomo
juna	צעיר	2,radiko
bela	יפה	2,radiko
ge	כולל את שני המינים	2,prefikso
veni	בא	2,radiko
is	סיומת לזמן עבר	2,finaĵo
al	אל, בכיוון	2,prepozicio
hejmo	בית	2,radiko
bona	טוב	2,radiko
voli	רצון	2,radiko
u	סיומת לציווי	2,finaĵo
iri	ללכת	2,radiko
i	סיומת למקור (שם פועל)	2,finaĵo
saluto	לברך לשלום	2,radiko
kio	מה	2,tabelvorto
vi	אתה, אתם	2,pronomo
fari	לעשות	2,radiko
legi	לקרוא	2,radiko
sed	אבל	2,konjunkcio
paroli	לדבר	2,radiko
kun	עם	2,prepozicio
ĉu	האם	2,partikulo
jes	כן	2,adverbo
ŝati	לחבב, למצוא חן	2,radiko
nur	רק	2,adverbo
trinki	לשתות	2,radiko
kafo	קפה	2,radiko
frato	אח	2,radiko
jen	הנה	2,partikulo
ankoraŭ	עדיין	2,adverbo
varma	חם	2,radiko
kuiri	לבשל	2,radiko
danki	להודות	2,radiko
povi	יכול	2,radiko
ankaŭ	גם	2,adverbo
mal	הפוך	2,prefikso
rigardi	להסתכל	2,radiko
okulo	עין	2,radiko
vidi	לראות	2,radiko
ke	ש	2,konjunkcio
ami	אהבה	2,radiko
longa	ארוך	3,radiko
e	סיומת לתואר פועל	3,finaĵo
antaŭ	לפני	3,prepozicio
ej	מקום	3,sufikso
post	אחרי	3,prepozicio
ĝoja	שמח	3,radiko
tra	דרך	3,prepozicio
strato	רחוב	3,radiko
tago	יום	3,radiko
kuko	עוגה	3,radiko
ni	אנחנו	3,pronomo
manĝi	לאכול	3,radiko
diri	להגיד	3,radiko
sufiĉa	מספיק	3,radiko
mono	כסף	3,radiko
kompreni	להבין	3,radiko
ebl	אפשרות	3,sufikso
cent	מאה	3,cifero
dolaro	דולר	3,radiko
ho	או	3,interjekcio
riĉa	עשיר	3,radiko
kelnero	מלצר	3,radiko
porti	לשאת, ללבוש	3,radiko
multa	הרבה	3,radiko
nova	חדש	3,radiko
serĉi	לחפש	3,radiko
unu	אחת	3,cifero
loko	מקום	3,radiko
alia	אחר	3,radiko
vizaĝo	פנים	3,radiko
fini	לסיים	3,radiko
per	על ידי, באמצעות	3,prepozicio
forta	כוח	3,radiko
voĉo	קול	3,radiko
okazi	לקרות	3,radiko
scii	לדעת	3,radiko
