Marko	Marko	1,nomo
esti	biti	1,radiko
as	sadašnje vrijeme (glagol)	1,finaĵo
mi	ja	1,pronomo
a	pridjevi	1,finaĵo
amiko	prijatelj	1,radiko
o	imenice	1,finaĵo
li	on	1,pronomo
lerni	učiti	1,radiko
ant	aktivni particip sadašnjeg vremena	1,participo
kaj	i	1,konjunkcio
sporto	sport	1,radiko
ist	zanimanje, pobornik čega	1,sufikso
nun	sada	1,adverbo
sidi	sjediti	1,radiko
en	u	1,prepozicio
ĉambro	soba	1,radiko
sur	na	1,prepozicio
tablo	stol	1,radiko
papero	papir	1,radiko
j	množina	1,finaĵo
libro	knjiga	1,radiko
ĝi	ono, on, ona	1,pronomo
skribi	pisati	1,radiko
la	(određeni član)	1,artikolo
patro	otac	1,radiko
in	žensko	1,sufikso
de	od	1,prepozicio
ne	ne	1,partikulo
ili	oni	1,pronomo
labori	raditi	1,radiko
hotelo	hotel	1,radiko
instrui	podučavati	1,radiko
ŝi	ona	1,pronomo
havi	imati	2,radiko
n	akuzativ (padež)	2,finaĵo
nomo	ime	2,radiko
Ana	Ana	2,nomo
juna	mlad	2,radiko
bela	lijep	2,radiko
ge	oba spola	2,prefikso
veni	doći	2,radiko
is	prošlo vrijeme (glagol)	2,finaĵo
al	k, ka, prema	2,prepozicio
hejmo	dom	2,radiko
bona	dobar	2,radiko
voli	htjeti	2,radiko
u	imperativ, zapovjedni način (glagol)	2,finaĵo
iri	ići	2,radiko
i	infinitiv (glagol)	2,finaĵo
saluto	pozdrav	2,radiko
kio	što	2,tabelvorto
vi	vi	2,pronomo
fari	napraviti, činiti	2,radiko
legi	čitati	2,radiko
sed	a, ali, već, nego	2,konjunkcio
paroli	govoriti	2,radiko
kun	s	2,prepozicio
ĉu	(početak pitanja)	2,partikulo
jes	da	2,adverbo
ŝati	voljeti	2,radiko
nur	samo	2,adverbo
trinki	piti	2,radiko
kafo	kava	2,radiko
frato	brat	2,radiko
jen	evo	2,partikulo
ankoraŭ	još	2,adverbo
varma	toplo	2,radiko
kuiri	kuhati	2,radiko
danki	zahvaliti	2,radiko
povi	moći	2,radiko
ankaŭ	također	2,adverbo
mal	suprotno	2,prefikso
rigardi	promatrati, gledati	2,radiko
okulo	oko	2,radiko
vidi	vidjeti	2,radiko
ke	da	2,konjunkcio
ami	ljubiti, voljeti	2,radiko
longa	dugačak	3,radiko
e	prilozi	3,finaĵo
antaŭ	prije, ispred	3,prepozicio
ej	mjesto	3,sufikso
post	nakon, iza	3,prepozicio
ĝoja	veseo, radostan	3,radiko
tra	kroz	3,prepozicio
strato	ulica	3,radiko
tago	dan	3,radiko
kuko	kolač	3,radiko
ni	mi	3,pronomo
manĝi	jesti	3,radiko
diri	reći	3,radiko
sufiĉa	dovoljno	3,radiko
mono	novac	3,radiko
kompreni	razumjeti	3,radiko
ebl	mogućnost	3,sufikso
cent	sto	3,cifero
dolaro	dolar	3,radiko
ho	oh	3,interjekcio
riĉa	bogat	3,radiko
kelnero	konobar	3,radiko
porti	nositi	3,radiko
multa	mnogi	3,radiko
nova	nov	3,radiko
serĉi	tražiti	3,radiko
unu	jedan	3,cifero
loko	mjesto	3,radiko
alia	drugi	3,radiko
vizaĝo	lice	3,radiko
fini	kraj, završetak	3,radiko
per	pomoću, s	3,prepozicio
forta	jak	3,radiko
voĉo	glas	3,radiko
okazi	dogoditi se	3,radiko
scii	znati	3,radiko
letero	pismo	4,radiko
vera	istina	4,radiko
foto	fotografija	4,radiko
kiam	kada	4,tabelvorto
re	ponovno	4,prefikso
el	iz, od	4,prepozicio
rapida	brz	4,radiko
tie	tamo, ondje	4,tabelvorto
stari	stajati	4,radiko
Vera	Vera	4,nomo
mano	ruka	4,radiko
koleri	ljutiti se, ljutnja	4,radiko
iĝ	postati	4,sufikso
ruĝa	crven	4,radiko
fali	pasti	4,radiko
pardoni	oprostiti	4,radiko
doni	dati	4,radiko
ricevi	dobiti	4,radiko
leciono	lekcija	4,radiko
plu	dalje, više	4,adverbo
os	buduće vrijeme (glagol)	4,finaĵo
devi	morati	4,radiko
fermi	zatvoriti	4,radiko
pordo	vrata	4,radiko
sinjoro	gospodin	5,radiko
vendi	prodati	5,radiko
aŭto	auto	5,radiko
kiu	tko, koji	5,tabelvorto
plaĉi	svidjeti se	5,radiko
demandi	pitati	5,radiko
plej	naj-	5,adverbo
tiu	taj, onaj	5,tabelvorto
ĉi	(približavanje)	5,partikulo
ĉiu	svatko, svaki	5,tabelvorto
pli	više	5,adverbo
ol	nego	5,konjunkcio
tre	vrlo	5,adverbo
certa	siguran	5,radiko
kosti	koštati, stajati	5,radiko
bedaŭri	žaliti	5,radiko
ind	vrijedno čega	5,sufikso
aĉeti	kupiti	5,radiko
ĉar	jer, budući da	5,konjunkcio
veturi	voziti se	5,radiko
dum	dok, za vrijeme	5,prepozicio
tio	to, ono	5,tabelvorto
edzo	suprug	5,radiko
Maja	Maja	6,nomo
et	umanjenica	6,sufikso
ul	osoba	6,sufikso
tri	tri	6,cifero
ig	učiniti da nešto bude	6,sufikso
sana	zdrav	6,radiko
alta	visok	6,radiko
temperaturo	temperatura	6,radiko
resti	ostati	6,radiko
morgaŭ	sutra	6,adverbo
voki	zvati	6,radiko
doktoro	liječnik	6,radiko
je	od, s, u, (neodređeni prijedlog)	6,prepozicio
naŭ	devet	6,cifero
horo	sat	6,radiko
por	za	6,prepozicio
helpi	pomoći	6,radiko
montri	pokazati	6,radiko
piedo	stopalo	6,radiko
vesti	odjenuti	6,radiko
ĉio	sve	6,tabelvorto
fine	na kraju	6,vorto
semajno	tjedan	6,radiko
sub	pod, ispod	6,prepozicio
teo	čaj	6,radiko
mateno	jutro	6,radiko
vespero	večer	6,radiko
deziri	željeti	6,radiko
trankvila	miran	6,radiko
farti	osjećati se	6,radiko
eg	uvećanica	6,sufikso
Karlo	Karlo	6,nomo
hm	hm	6,interjekcio
dormi	spavati	7,radiko
suno	sunce	7,radiko
subita	iznenada	7,radiko
ek	početak	7,prefikso
salti	skočiti	7,radiko
ĉiam	uvijek	7,tabelvorto
frua	rano	7,radiko
hodiaŭ	danas	7,adverbo
meti	staviti	7,radiko
aĵ	stvar, konkretno	7,sufikso
kuri	trčati	7,radiko
laŭ	prema, po	7,prepozicio
homo	čovjek	7,radiko
kia	kakav	7,tabelvorto
saĝa	mudar	7,radiko
knabo	dječak	7,radiko
baldaŭ	uskoro	7,adverbo
it	pasivni particip prošlog vremena	7,participo
nek	niti, ni	7,konjunkcio
pensi	misao, misliti	7,radiko
diablo	vrag	7,radiko
memori	sjećati se	7,radiko
dimanĉo	nedjelja	7,radiko
raporti	izvijestiti	8,radiko
noto	bilješka, ocjena	8,radiko
aĉ	gadno, nepoželjno svojstvo	8,sufikso
kapo	glava	8,radiko
kiom	koliko	8,tabelvorto
da	od (partitivni genitiv)	8,prepozicio
ĉe	kod	8,prepozicio
ludi	igrati	8,radiko
mem	sam, osobno	8,partikulo
tiom	toliko, onoliko	8,tabelvorto
kvankam	iako, premda	8,konjunkcio
tiam	tada, onda	8,tabelvorto
aŭdi	čuti	8,radiko
vorto	riječ	8,radiko
tuj	odmah	8,adverbo
respondi	odgovoriti	8,radiko
kara	drag	8,radiko
problemo	problem	8,radiko
pri	o	8,prepozicio
muziko	glazba	8,radiko
ridi	smijati se	8,radiko
tamen	ipak	8,adverbo
Petro	Petar	9,nomo
Maria	Marija	9,nomo
vojaĝi	putovati	9,radiko
lando	zemlja	9,radiko
libera	slobodan	9,radiko
tempo	vrijeme	9,radiko
decidi	odlučiti	9,radiko
Italio	Italija	9,radiko
urbo	grad	9,radiko
feliĉa	sretan	9,radiko
kie	gdje	9,tabelvorto
forgesi	zaboraviti	9,radiko
esperi	nadati se	9,radiko
us	kondicional (glagol)	9,finaĵo
komenci	početi	9,radiko
jam	već	9,adverbo
vagono	vagon	9,radiko
ar	skupina, mnoštvo	9,sufikso
nenio	ništa	9,tabelvorto
sekreto	tajna	9,radiko
onklo	stric, ujak	9,radiko
Bonifacio	Bonifacio	9,nomo
plena	pun	9,radiko
um	neodređeno značenje	9,sufikso
sia	(refleksivna zamjenica)	9,radiko
uzi	koristiti	9,radiko
domo	kuća	9,radiko
ad	trajanje	9,sufikso
atendi	čekati	9,radiko
do	dakle	9,adverbo
kial	zašto	9,tabelvorto
neniam	nikad	9,tabelvorto
kiel	kako	10,tabelvorto
pasi	proći	10,radiko
naski	roditi	10,radiko
kelka	neki, nekoliko	10,radiko
familio	obitelj	10,radiko
an	član grupe	10,sufikso
iom	ikoliko, nekoliko	10,tabelvorto
trovi	pronaći	10,radiko
almenaŭ	barem	10,adverbo
ordo	red	10,radiko
io	išta, nešto	10,tabelvorto
manki	nedostajati	10,radiko
