Marko	Márk	1,nomo
esti	van	1,radiko
as	Jelen idő	1,finaĵo
mi	én	1,pronomo
a	Melléknév	1,finaĵo
amiko	barát	1,radiko
o	Főnév	1,finaĵo
li	ő (férfi)	1,pronomo
lerni	tanul	1,radiko
ant	cselekvő jelen	1,participo
kaj	és	1,konjunkcio
sporto	sport	1,radiko
ist	foglalkozás	1,sufikso
nun	most	1,adverbo
sidi	ül	1,radiko
en	-ban/ben	1,prepozicio
ĉambro	szoba	1,radiko
sur	-on/en/ön	1,prepozicio
tablo	asztal	1,radiko
papero	papír	1,radiko
j	Többesszám	1,finaĵo
libro	könyv	1,radiko
ĝi	ő (állat), az (tárgy)	1,pronomo
skribi	ír	1,radiko
la	a	1,artikolo
patro	apa	1,radiko
in	nő, nőstény(állat)	1,sufikso
de	-nak a/nek a, -tól/től	1,prepozicio
ne	nem	1,partikulo
ili	ők	1,pronomo
labori	munka, dolgoz	1,radiko
hotelo	szálloda	1,radiko
instrui	tanít	1,radiko
ŝi	ő (nő)	1,pronomo
havi	van neki	2,radiko
n	Tárgyeset	2,finaĵo
nomo	név	2,radiko
Ana	Anna	2,nomo
juna	fiatal	2,radiko
bela	szép	2,radiko
ge	kétféle nemű együtt	2,prefikso
veni	jön	2,radiko
is	Múlt idő	2,finaĵo
al	-nak/nek, -hoz/hez/höz, felé	2,prepozicio
hejmo	otthon	2,radiko
bona	jó	2,radiko
voli	akar	2,radiko
u	Felszólító mód	2,finaĵo
iri	megy	2,radiko
i	Főnévi igenév	2,finaĵo
saluto	köszön	2,radiko
kio	mi	2,tabelvorto
vi	te, ti	2,pronomo
fari	csinál	2,radiko
legi	olvas	2,radiko
sed	de	2,konjunkcio
paroli	beszél	2,radiko
kun	-val/vel (társ)	2,prepozicio
ĉu	vajon	2,partikulo
jes	igen	2,adverbo
ŝati	szeret	2,radiko
nur	csak	2,adverbo
trinki	iszik	2,radiko
kafo	kávé	2,radiko
frato	fiútestvér	2,radiko
jen	íme, tessék	2,partikulo
