Marko	Marko	1,nomo
esti	adalah (to be), ada	1,radiko
as	Kata kerja bentuk sekarang (present)	1,finaĵo
mi	saya	1,pronomo
a	Adjektif (kata sifat)	1,finaĵo
amiko	teman	1,radiko
o	Kata Benda	1,finaĵo
li	dia (laki-laki)	1,pronomo
lerni	belajar	1,radiko
ant	kata kerja aktif di masa sekarang (present active)	1,participo
kaj	dan	1,konjunkcio
sporto	olahraga	1,radiko
ist	profesi, pelaku kebiasaan	1,sufikso
nun	sekarang	1,adverbo
sidi	duduk	1,radiko
en	di dalam	1,prepozicio
ĉambro	kamar	1,radiko
sur	pada	1,prepozicio
tablo	meja	1,radiko
papero	kertas	1,radiko
j	Plural	1,finaĵo
libro	buku	1,radiko
ĝi	itu (benda, binatang)	1,pronomo
skribi	tulis	1,radiko
la	(artikel definitif) the	1,artikolo
patro	ayah	1,radiko
in	perempuan	1,sufikso
de	dari, tentang	1,prepozicio
ne	tidak, bukan	1,partikulo
ili	mereka	1,pronomo
labori	kerja	1,radiko
hotelo	hotel	1,radiko
instrui	mengajar	1,radiko
ŝi	dia (perempuan)	1,pronomo
havi	punya	2,radiko
n	Akusatif	2,finaĵo
nomo	nama	2,radiko
Ana	Ana	2,nomo
juna	muda	2,radiko
bela	cantik	2,radiko
ge	menyatakan bentuk yang mencakup perempuan dan laki-laki	2,prefikso
veni	datang	2,radiko
is	Kata kerja bentuk lampau (past)	2,finaĵo
al	ke, menuju	2,prepozicio
hejmo	rumah	2,radiko
bona	baik	2,radiko
voli	mau, ingin	2,radiko
u	Kata kerja Imperatif	2,finaĵo
iri	pergi	2,radiko
i	Infinitif (Kata kerja bentuk dasar)	2,finaĵo
saluto	sapa	2,radiko
kio	apa, yang	2,tabelvorto
vi	kamu, Anda, kalian	2,pronomo
fari	buat, lakukan	2,radiko
legi	baca	2,radiko
sed	tapi	2,konjunkcio
paroli	bicara	2,radiko
kun	dengan	2,prepozicio
ĉu	apakah	2,partikulo
jes	ya	2,adverbo
ŝati	suka	2,radiko
nur	hanya	2,adverbo
trinki	minum	2,radiko
kafo	kopi	2,radiko
frato	saudara	2,radiko
jen	inilah	2,partikulo
ankoraŭ	masih, tetap	2,adverbo
varma	panas	2,radiko
kuiri	masak	2,radiko
danki	terima kasih	2,radiko
povi	bisa	2,radiko
ankaŭ	juga	2,adverbo
mal	lawan kata	2,prefikso
rigardi	memandang	2,radiko
okulo	mata	2,radiko
vidi	lihat	2,radiko
ke	bahwa	2,konjunkcio
ami	cinta	2,radiko
longa	panjang	3,radiko
e	Adverb (Kata Keterangan)	3,finaĵo
antaŭ	sebelum, di depan	3,prepozicio
ej	tempat	3,sufikso
post	setelah	3,prepozicio
ĝoja	senang	3,radiko
