Marko	Марк	1,nomo
esti	to be	1,radiko
as	Verb in present tense	1,finaĵo
mi	мен	1,pronomo
a	Adjective	1,finaĵo
amiko	дос	1,radiko
o	Noun	1,finaĵo
li	ол	1,pronomo
lerni	to learn	1,radiko
ant	present active	1,participo
kaj	and	1,konjunkcio
sporto	sport	1,radiko
ist	profession, habitual association	1,sufikso
nun	қазір	1,adverbo
sidi	to sit	1,radiko
en	in	1,prepozicio
ĉambro	бөлім	1,radiko
sur	on	1,prepozicio
tablo	table	1,radiko
papero	paper	1,radiko
j	Plural	1,finaĵo
libro	кітап	1,radiko
ĝi	ол	1,pronomo
skribi	to write	1,radiko
la	бұл; осы	1,artikolo
patro	father	1,radiko
in	female	1,sufikso
de	of, from	1,prepozicio
ne	no, not	1,partikulo
ili	олар	1,pronomo
labori	to work	1,radiko
hotelo	қонақхана	1,radiko
instrui	to teach	1,radiko
ŝi	ол	1,pronomo
havi	to have	2,radiko
n	Accusative case	2,finaĵo
nomo	name	2,radiko
Ana	Ана	2,nomo
juna	young	2,radiko
bela	beautiful	2,radiko
ge	pertaining of both sexes	2,prefikso
veni	come	2,radiko
is	Verb in past tense	2,finaĵo
al	to, in the direction of	2,prepozicio
hejmo	үй	2,radiko
bona	good	2,radiko
voli	want	2,radiko
u	Imperative verb	2,finaĵo
iri	to go	2,radiko
i	Infinitive	2,finaĵo
saluto	сәлем	2,radiko
kio	what	2,tabelvorto
vi	сен, сіз / сендер, сіздер (can be both singular and plural)	2,pronomo
fari	to do	2,radiko
legi	to read	2,radiko
sed	but	2,konjunkcio
paroli	to speak	2,radiko
kun	with	2,prepozicio
ĉu	whether (starts questions)	2,partikulo
jes	иә	2,adverbo
ŝati	to like	2,radiko
nur	тек; ғана; қана	2,adverbo
trinki	to drink	2,radiko
kafo	кофе	2,radiko
frato	аға	2,radiko
jen	here is	2,partikulo
ankoraŭ	still, yet	2,adverbo
varma	warm	2,radiko
kuiri	to cook	2,radiko
danki	to thank	2,radiko
povi	can	2,radiko
ankaŭ	also	2,adverbo
mal	opposite	2,prefikso
rigardi	to look at	2,radiko
okulo	көз	2,radiko
vidi	to see	2,radiko
ke	that	2,konjunkcio
ami	love	2,radiko
longa	ұзақ; ұзын	3,radiko
e	Adverb	3,finaĵo
antaŭ	before, in front of	3,prepozicio
ej	place	3,sufikso
post	after	3,prepozicio
ĝoja	glad	3,radiko
tra	through	3,prepozicio
strato	street	3,radiko
tago	күн	3,radiko
kuko	cake	3,radiko
ni	біз	3,pronomo
manĝi	to eat	3,radiko
diri	to say	3,radiko
sufiĉa	sufficient	3,radiko
mono	ақша	3,radiko
kompreni	to understand	3,radiko
ebl	possibility	3,sufikso
cent	жүз	3,cifero
dolaro	доллар	3,radiko
ho	oh	3,interjekcio
riĉa	бай	3,radiko
kelnero	waiter	3,radiko
porti	to carry	3,radiko
multa	many	3,radiko
nova	жаңа	3,radiko
serĉi	to search	3,radiko
unu	бір	3,cifero
loko	place	3,radiko
alia	another	3,radiko
vizaĝo	face	3,radiko
fini	to end	3,radiko
per	by means of, with	3,prepozicio
forta	strong	3,radiko
voĉo	дауыс	3,radiko
okazi	to happen	3,radiko
scii	to know	3,radiko
letero	letter	4,radiko
vera	true	4,radiko
foto	photo	4,radiko
kiam	when	4,tabelvorto
re	again, re-	4,prefikso
el	from, out of	4,prepozicio
rapida	fast	4,radiko
tie	there	4,tabelvorto
stari	to stand	4,radiko
Vera	Вера	4,nomo
mano	қол	4,radiko
koleri	anger	4,radiko
iĝ	become	4,sufikso
ruĝa	қызыл	4,radiko
