Marko	Marko	1,nomo
esti	ialah,kata akar	1,radiko
as	Kata kerja menujukkan perbuatan kini	1,finaĵo
mi	saya	1,pronomo
a	Adjektif	1,finaĵo
amiko	kawan, kata akar	1,radiko
o	Kata Nama	1,finaĵo
li	dia (lelaki)	1,pronomo
lerni	belajar,kata akar	1,radiko
ant	imbuhan belakang untuk menjadikan kata kerja menujukkan perbuatan aktif kini	1,participo
kaj	dan	1,konjunkcio
sporto	sukan,kata akar	1,radiko
ist	pakar	1,sufikso
nun	sekarang	1,adverbo
sidi	duduk,kata akar	1,radiko
en	di dalam	1,prepozicio
ĉambro	bilik,kata akar	1,radiko
sur	di atas	1,prepozicio
tablo	meja,kata akar	1,radiko
papero	kertas,kata akar	1,radiko
j	Majmuk	1,finaĵo
libro	buku,kata akar	1,radiko
ĝi	dia (unutk binatang atau benda tidak bernyawa)	1,pronomo
skribi	tulis,kata akar	1,radiko
la	itu,ini	1,artikolo
patro	ayah,kata akar	1,radiko
in	betina	1,sufikso
de	dari	1,prepozicio
ne	tidak	1,partikulo
ili	mereka	1,pronomo
labori	bekerja,kata akar	1,radiko
hotelo	hotel,kata akar	1,radiko
instrui	mengajar,kata akar	1,radiko
ŝi	dia (perempuan)	1,pronomo
havi	mempunyai,kata akar	2,radiko
n	Akusatif	2,finaĵo
nomo	nama,kata akar	2,radiko
Ana	Ana	2,nomo
juna	muda,kata akar	2,radiko
bela	cantik,kata akar	2,radiko
ge	untuk menujukkan dua jantina	2,prefikso
veni	mari,kata akar	2,radiko
is	Kata kerja menujukkan perbuatan telah berlaku	2,finaĵo
al	ke	2,prepozicio
hejmo	rumah,kata akar	2,radiko
bona	bagus,kata akar	2,radiko
voli	ingin,kata akar	2,radiko
u	Kata kerja perintah	2,finaĵo
iri	pergi,kata akar	2,radiko
i	Kata kerja infinitif	2,finaĵo
saluto	salam hormat,kata akar	2,radiko
kio	apa	2,tabelvorto
vi	awak	2,pronomo
fari	membuat,kata akar	2,radiko
legi	baca,kata akar	2,radiko
