Marko	Marc	1,nomo
esti	zijn (werkwoord)	1,radiko
as	werkwoord in de tegenwoordige tijd	1,finaĵo
mi	ik	1,pronomo
a	adjectief (= bijvoeglijk naamwoord, hoedanigheidswoord)	1,finaĵo
amiko	vriend	1,radiko
o	substantief (= zelfstandig naamwoord)	1,finaĵo
li	hij	1,pronomo
lerni	leren	1,radiko
ant	aktief deelwoord / grammaticale stam, tegenwoordige tijd	1,participo
kaj	en	1,konjunkcio
sporto	sport	1,radiko
ist	beroep of levensbeschouwing	1,sufikso
nun	nu	1,adverbo
sidi	zitten	1,radiko
en	in	1,prepozicio
ĉambro	kamer	1,radiko
sur	op	1,prepozicio
tablo	tafel	1,radiko
papero	papier	1,radiko
j	meervoud	1,finaĵo
libro	boek	1,radiko
ĝi	het	1,pronomo
skribi	schrijven	1,radiko
la	de, het	1,artikolo
patro	vader	1,radiko
in	vrouwelijk	1,sufikso
de	van	1,prepozicio
ne	neen, niet	1,partikulo
ili	zij (meervoud), ze (meervoud)	1,pronomo
labori	werken, arbeiden	1,radiko
hotelo	hotel	1,radiko
instrui	onderwijzen	1,radiko
ŝi	zij (vrouwelijk enkelvoud)	1,pronomo
havi	hebben	2,radiko
n	accusatief (= vierde naamval)	2,finaĵo
nomo	naam	2,radiko
Ana	Anna	2,nomo
juna	jong	2,radiko
bela	mooi	2,radiko
ge	personen van beide geslachten	2,prefikso
veni	komen	2,radiko
is	werkwoord in de verleden tijd	2,finaĵo
al	naar, aan	2,prepozicio
hejmo	huis, thuis	2,radiko
bona	goed	2,radiko
voli	willen	2,radiko
u	werkwoord in de gebiedende vorm	2,finaĵo
iri	gaan	2,radiko
i	infinitief (= noemvorm)	2,finaĵo
saluto	groet	2,radiko
kio	wat	2,tabelvorto
vi	jij, je, gij, ge, jullie	2,pronomo
fari	maken, doen	2,radiko
legi	lezen	2,radiko
sed	maar	2,konjunkcio
paroli	spreken	2,radiko
kun	met	2,prepozicio
ĉu	of; leidt een gewone vragende zin in.	2,partikulo
jes	ja	2,adverbo
ŝati	graag hebben, lusten	2,radiko
nur	slechts, enkel	2,adverbo
trinki	drinken	2,radiko
kafo	koffie	2,radiko
frato	broer	2,radiko
jen	dit is, ziehier	2,partikulo
ankoraŭ	nog	2,adverbo
varma	warm	2,radiko
kuiri	koken	2,radiko
danki	dank	2,radiko
povi	kunnen	2,radiko
ankaŭ	ook, eveneens	2,adverbo
mal	tegengestelde	2,prefikso
rigardi	kijken	2,radiko
okulo	oog	2,radiko
vidi	zien	2,radiko
ke	dat	2,konjunkcio
ami	beminnen	2,radiko
longa	lang	3,radiko
e	bijwoord	3,finaĵo
antaŭ	vóór	3,prepozicio
ej	plaats, ruimte	3,sufikso
post	na	3,prepozicio
ĝoja	blij, vrolijk	3,radiko
tra	door, doorheen	3,prepozicio
strato	straat	3,radiko
tago	dag	3,radiko
kuko	koek, cake	3,radiko
ni	wij - we	3,pronomo
manĝi	eten	3,radiko
diri	zeggen	3,radiko
sufiĉa	volstaan, genoeg	3,radiko
mono	geld	3,radiko
kompreni	verstaan, begrijpen	3,radiko
ebl	mogelijkheid, -baar	3,sufikso
cent	honderd	3,cifero
dolaro	dollar	3,radiko
ho	ho	3,interjekcio
riĉa	rijk	3,radiko
kelnero	ober	3,radiko
porti	dragen	3,radiko
multa	veel	3,radiko
nova	nieuw	3,radiko
serĉi	zoeken	3,radiko
unu	een, één	3,cifero
loko	plaats	3,radiko
alia	ander	3,radiko
vizaĝo	(aan)gezicht	3,radiko
fini	einde	3,radiko
per	met, door middel van	3,prepozicio
forta	sterk	3,radiko
voĉo	stem	3,radiko
okazi	gebeuren, geschieden	3,radiko
scii	weten	3,radiko
letero	brief	4,radiko
vera	waar, echt, waarlijk	4,radiko
foto	foto	4,radiko
kiam	wanneer	4,tabelvorto
re	weer-, terug-	4,prefikso
el	uit	4,prepozicio
rapida	snel, rap	4,radiko
tie	daar	4,tabelvorto
stari	staan	4,radiko
Vera	Vera	4,nomo
mano	hand	4,radiko
koleri	boos, kwaad zijn	4,radiko
iĝ	worden	4,sufikso
ruĝa	rood	4,radiko
fali	vallen	4,radiko
pardoni	vergiffenis	4,radiko
doni	geven	4,radiko
ricevi	ontvangen, krijgen	4,radiko
leciono	les	4,radiko
plu	verder	4,adverbo
os	werkwoord in de toekomende tijd	4,finaĵo
devi	moeten	4,radiko
fermi	sluiten	4,radiko
pordo	deur	4,radiko
sinjoro	heer, mijnheer	5,radiko
vendi	verkopen	5,radiko
aŭto	auto	5,radiko
kiu	wie	5,tabelvorto
plaĉi	bevallen	5,radiko
demandi	vragen	5,radiko
plej	meest (superlatief, overtreffende trap)	5,adverbo
tiu	die	5,tabelvorto
ĉi	dichterbij, naasterbij	5,partikulo
ĉiu	iedereen	5,tabelvorto
pli	meer (comparatief, vergelijkende trap)	5,adverbo
ol	dan	5,konjunkcio
tre	zeer	5,adverbo
certa	zeker	5,radiko
kosti	kosten	5,radiko
bedaŭri	betreuren	5,radiko
ind	-waard, -waardig	5,sufikso
aĉeti	kopen	5,radiko
ĉar	omdat, want	5,konjunkcio
veturi	rijden (auto)	5,radiko
dum	gedurende, terwijl	5,prepozicio
tio	dat (dit)	5,tabelvorto
edzo	echtgenoot	5,radiko
Maja	Maja	6,nomo
et	verkleining	6,sufikso
ul	persoon	6,sufikso
tri	drie	6,cifero
ig	doen, maken	6,sufikso
sana	gezond	6,radiko
alta	hoog	6,radiko
temperaturo	temperatuur	6,radiko
resti	blijven	6,radiko
morgaŭ	morgen	6,adverbo
voki	roepen	6,radiko
doktoro	doctor	6,radiko
je	voorzetsel met meer betekenissen	6,prepozicio
naŭ	negen	6,cifero
horo	uur	6,radiko
por	voor	6,prepozicio
helpi	helpen	6,radiko
montri	tonen	6,radiko
piedo	voet	6,radiko
vesti	kleden	6,radiko
ĉio	alles	6,tabelvorto
fine	eindelijk	6,vorto
semajno	week (7 dagen)	6,radiko
sub	onder	6,prepozicio
teo	thee	6,radiko
mateno	morgen (begin van dag)	6,radiko
vespero	avond	6,radiko
deziri	wensen, verlangen	6,radiko
trankvila	rustig	6,radiko
farti	varen (zich voelen)	6,radiko
eg	Vergroting	6,sufikso
Karlo	Karel	6,nomo
hm	hm	6,interjekcio
dormi	slapen	7,radiko
suno	zon	7,radiko
subita	plots, eensklaps, ineens, plotseling	7,radiko
ek	beginnende handelng	7,prefikso
salti	springen	7,radiko
ĉiam	altijd	7,tabelvorto
frua	vroeg	7,radiko
hodiaŭ	vandaag	7,adverbo
meti	zetten, plaatsen, leggen	7,radiko
aĵ	concrete zaak	7,sufikso
kuri	lopen, rennen, hardlopen	7,radiko
laŭ	volgens	7,prepozicio
homo	mens	7,radiko
kia	welke soort	7,tabelvorto
saĝa	snugger, wijs	7,radiko
knabo	jongen, knaap	7,radiko
baldaŭ	weldra, binnenkort	7,adverbo
it	passief deelwoord / grammaticale stam, verleden tijd	7,participo
nek	noch (… noch)	7,konjunkcio
pensi	denken	7,radiko
diablo	duivel	7,radiko
memori	zich herinneren	7,radiko
dimanĉo	zondag	7,radiko
raporti	verlaggeven, rapporteren	8,radiko
noto	noteren, nota	8,radiko
aĉ	uiterlijk afkerig	8,sufikso
kapo	kop	8,radiko
kiom	hoeveel	8,tabelvorto
da	van (een hoeveelheid)	8,prepozicio
ĉe	bij	8,prepozicio
ludi	spelen	8,radiko
mem	zelf	8,partikulo
tiom	zoveel	8,tabelvorto
kvankam	hoewel	8,konjunkcio
tiam	dan	8,tabelvorto
aŭdi	horen	8,radiko
vorto	woord	8,radiko
tuj	onmiddellijk, dadelijk	8,adverbo
respondi	antwoorden, beantwoorden	8,radiko
kara	lief, dierbaar, waard	8,radiko
problemo	probleem	8,radiko
pri	over, betreffende, aangaande	8,prepozicio
muziko	muziek	8,radiko
ridi	lachen	8,radiko
tamen	toch, nochtans	8,adverbo
Petro	Petro	9,nomo
Maria	Maria	9,nomo
vojaĝi	reizen	9,radiko
lando	land	9,radiko
libera	vrij	9,radiko
tempo	tijd	9,radiko
decidi	beslissen	9,radiko
italio	Italië	9,radiko
urbo	stad	9,radiko
feliĉa	gelukkig	9,radiko
kie	waar	9,tabelvorto
forgesi	vergeten	9,radiko
esperi	hopen	9,radiko
us	werkwoord in de voorwaardelijke vorm	9,finaĵo
komenci	beginnen	9,radiko
jam	reeds, al	9,adverbo
vagono	wagon	9,radiko
ar	verzameling	9,sufikso
nenio	niets	9,tabelvorto
sekreto	geheim	9,radiko
onklo	oom	9,radiko
Bonifacio	Bonifacius	9,nomo
plena	vol	9,radiko
um	zonder bepaalde betekenis	9,sufikso
sia	zich	9,radiko
uzi	gebruiken	9,radiko
domo	huis	9,radiko
ad	duur (herhaling)	9,sufikso
atendi	wachten	9,radiko
do	dus	9,adverbo
kial	waarom	9,tabelvorto
neniam	nooit	9,tabelvorto
kiel	hoe	10,tabelvorto
pasi	voorbijgaan	10,radiko
naski	baren	10,radiko
kelka	enige, enkele	10,radiko
familio	gezin (familie)	10,radiko
an	lid, aanhanger, inwoner	10,sufikso
iom	een zekere hoeveelheid, een beetje	10,tabelvorto
trovi	vinden	10,radiko
almenaŭ	minstens, ten minste	10,adverbo
ordo	orde	10,radiko
io	iets	10,tabelvorto
manki	ontbreken	10,radiko
lakto	melk	10,radiko
necesa	nodig	10,radiko
anstataŭ	in plaats van	10,prepozicio
intereso	interesse, belangstelling, interesseren	10,radiko
ekskurso	uitstap	10,radiko
klubo	club	10,radiko
ĵeti	werpen, gooien	10,radiko
ia	eender welke soort	10,tabelvorto
uj	vat (container), land, boom	10,sufikso
ĝusta	juist	10,radiko
for	weg-, voort-	10,prefikso
inter	tussen	10,prepozicio
sama	gelijk	10,radiko
fojo	keer	10,radiko
rajti	het recht hebben, mogen	10,radiko
proponi	voorstellen	10,radiko
du	twee	10,cifero
parto	deel	10,radiko
sukceso	slagen	10,radiko
iu	iemand	10,tabelvorto
ideo		10,novaj
tro	te, teveel	10,adverbo
ec	abstract begrip, eigenschap, -heid	10,sufikso
reala	werkelijk, reëel	10,radiko
silento	zwijgen	10,radiko
daŭri	duren	10,radiko
nu	welnu	10,interjekcio
minuto	minuut	10,radiko
telefono	telefoon	10,radiko
viziti	bezoeken	10,radiko
dolĉa	zoet	10,radiko
atenti	opletten, aandacht	10,radiko
dika	dik	10,radiko
ŝanĝi	veranderen, wijzigen	10,radiko
opinii	menen	10,radiko
sen	zonder	10,prepozicio
sola	alleen	10,radiko
Veneci	Venetië	11,radiko
Sankt-Mark	Sint-Marcus	11,nomo
placo	plein, plaats	11,radiko
milito	oorlog	11,radiko
maro	zee	11,radiko
ŝipo	schip	11,radiko
gondolo	gondel	11,radiko
movi	bewegen	11,radiko
mezo	midden	11,radiko
proksima	dicht(bij)	11,radiko
granda	groot	11,radiko
oni	men	11,pronomo
facila	gemakkelijk	11,radiko
lumo	licht	11,radiko
flanko	zijde (kant)	11,radiko
Stefan	Steven	11,nomo
krii	schreeuwen	11,radiko
turko	Turk	11,radiko
renkonti	ontmoeten	11,radiko
sekvi	volgen	11,radiko
Pietro	Pieter	11,nomo
koni	kennen	11,radiko
akvo	water	11,radiko
tiel	zo	11,tabelvorto
Ĝorĝo	Joris	11,nomo
preni	nemen	11,radiko
estro	leider, chef, baas	11,sufikso
preskaŭ	bijna	11,adverbo
morti	sterven, dood	11,radiko
grava	belangrijk	11,radiko
Ĝino	Gino	11,nomo
halti	halthouden	11,radiko
apud	naast	11,prepozicio
dek	tien	11,cifero
jaro	jaar	11,radiko
koloro	kleur	11,radiko
Jakopo	Jacob	11,nomo
tial	daarom	11,tabelvorto
timi	vrezen, bang zijn	11,radiko
sendi	zenden	11,radiko
doĝo	doge	11,radiko
bezoni	nodig hebben, benodigen	11,radiko
pagi	betalen	11,radiko
er	fragment, stukje van	11,sufikso
afero	aangelegenheid, zaak	11,radiko
se	indien, als, op voorwaarde dat	11,konjunkcio
pano	brood	11,radiko
Don Kamilo	Don Camillo	11,nomo
ĝis	tot	11,prepozicio
S-ro	Sinjoro – Mijnheer	12,mallongigo
Pipelbom	Piepelbom	12,nomo
peza	zwaar	12,radiko
larĝa	breed	12,radiko
korpo	lichaam	12,radiko
aspekto	uitzicht	12,radiko
rolo	rol	12,radiko
fakto	feitelijk	12,radiko
respekti	achten, respecteren	12,radiko
kontenta	tevreden	12,radiko
ofte	vaak, dikwijls	12,radiko
utila	nuttig	12,radiko
prezenti	voorstellen	12,radiko
ĝeni	storen	12,radiko
nokto	nacht	12,radiko
arbo	boom	12,radiko
ĉefo	chef, hoofd	12,radiko
vojo	weg, baan	12,radiko
ekster	buiten	12,prepozicio
sovaĝa	wild	12,radiko
bruo	lawaai	12,radiko
krom	behalve	12,prepozicio
tuŝi	aanraken	12,radiko
naturo	natuur	12,radiko
ĝenerali	algemeen	12,radiko
seki	droog	12,radiko
paŝi	schrijden, stappen	12,radiko
vivi	leven	12,radiko
dolori	pijn	12,radiko
agrabla	aangenaam	12,radiko
ju	hoe (… hoe), des te (_ hoe)	12,partikulo
kastelo	slot, kasteel	12,radiko
des	(hoe …) des te, (hoe _) hoe	12,partikulo
Adriano	Adriaan	12,nomo
viro	man	12,radiko
kapabla	bekwaam	12,radiko
industrio	industrie	12,radiko
polico	politie	12,radiko
persono	persoon	12,radiko
simila	gelijkaardig, gelijkend	12,radiko
lasta	laatst	12,radiko
laŭta	luid	12,radiko
orelo	oor	12,radiko
momento	moment (ogenblik)	12,radiko
ambaŭ	beide, beiden	12,adverbo
direkti	richting	12,radiko
zorgi	zorgen	12,radiko
situacio	toestand, situatie	12,radiko
branĉo	tak	12,radiko
rekta	rechtstreeks, direct	12,radiko
besto	dier	12,radiko
promeni	wandelen	12,radiko
kavo	hol, groeve	12,radiko
odoro	geur	12,radiko
preta	gereed, bereid, klaar	12,radiko
ajn	dan ook	12,partikulo
efektiva	werkelijk, efficiënt	12,radiko
miri	verwonderd zijn	12,radiko
koro	hart	12,radiko
ŝajni	schijnen, lijken	12,radiko
supri	boven	12,radiko
buŝo	mond	12,radiko
provi	proberen	12,radiko
kapti	vangen	12,radiko
lampo	lamp	12,radiko
paco	vrede	12,radiko
formo	vorm	12,radiko
teni	houden	12,radiko
sono	klank	12,radiko
aŭtoritato	autoriteit	12,radiko
nuuuu	nou	12,interjekcio
eee	eee	12,interjekcio
fuŝi	prutsen, knoeien, sukkelen	12,radiko
klara	klaar	12,radiko
eĉ	zelfs	12,adverbo
tono	toon	12,radiko
ha	ha	12,interjekcio
bieno	landgoed, boerderij	12,radiko
grafo	graaf	12,radiko
monto	berg	12,radiko
kalva	kaal	12,radiko
inviti	uitnodigen	12,radiko
peti	verzoeken, vragen	12,radiko
teroro	terreur	12,radiko
kontroli	nazien	12,radiko
ĉirkaŭ	om, rondom	12,prepozicio
akcepti	aanvaarden	12,radiko
perdi	verliezen	12,radiko
