Marko	Marek	1,nomo
esti	być	1,radiko
as	Czasownik w czasie teraźniejszym	1,finaĵo
mi	ja	1,pronomo
a	Przymiotnik	1,finaĵo
amiko	przyjaciel	1,radiko
o	Rzeczownik	1,finaĵo
li	on	1,pronomo
lerni	uczyć się	1,radiko
ant	teraźniejszy czynna	1,participo
kaj	i	1,konjunkcio
sporto	sport	1,radiko
ist	fach, zawód	1,sufikso
nun	teraz	1,adverbo
sidi	siedzieć	1,radiko
en	w	1,prepozicio
ĉambro	pokój	1,radiko
sur	na	1,prepozicio
tablo	stół	1,radiko
papero	papier	1,radiko
j	Liczba mnoga	1,finaĵo
libro	książka	1,radiko
ĝi	to	1,pronomo
skribi	pisać	1,radiko
la	(przedimek określony)	1,artikolo
patro	ojciec	1,radiko
in	żenski	1,sufikso
de	od, z	1,prepozicio
ne	nie	1,partikulo
ili	oni, one	1,pronomo
labori	pracować	1,radiko
hotelo	hotel	1,radiko
instrui	nauczać	1,radiko
ŝi	ona	1,pronomo
havi	mieć	2,radiko
n	Biernik	2,finaĵo
nomo	imię	2,radiko
Ana	Anna	2,nomo
juna	młody	2,radiko
bela	ładny	2,radiko
ge	obojga płci	2,prefikso
veni	przyjść	2,radiko
is	Czasownik w czasie przeszłym	2,finaĵo
al	do, ku	2,prepozicio
hejmo	dom	2,radiko
bona	doby	2,radiko
voli	chcieć	2,radiko
u	Tryb rozkazujący	2,finaĵo
iri	iść	2,radiko
i	Bezokolicznik	2,finaĵo
saluto	pozdrawiać	2,radiko
kio	co	2,tabelvorto
vi	ty, wy	2,pronomo
fari	robić	2,radiko
legi	czytać	2,radiko
sed	ale	2,konjunkcio
paroli	mówić	2,radiko
kun	z	2,prepozicio
ĉu	czy	2,partikulo
jes	tak	2,adverbo
ŝati	lubić	2,radiko
nur	tylko	2,adverbo
trinki	pić	2,radiko
kafo	kawa	2,radiko
frato	brat	2,radiko
jen	oto	2,partikulo
ankoraŭ	jeszcze	2,adverbo
varma	ciepły	2,radiko
kuiri	gotować	2,radiko
danki	dziękować	2,radiko
povi	móc	2,radiko
ankaŭ	też, również, także	2,adverbo
mal	nie-, przeciwieństwo	2,prefikso
rigardi	patrzeć	2,radiko
okulo	oko	2,radiko
vidi	widzieć	2,radiko
ke	że	2,konjunkcio
ami	miłość	2,radiko
longa	długi	3,radiko
e	Przysłówek	3,finaĵo
antaŭ	przed	3,prepozicio
ej	miejsce	3,sufikso
post	za, potem	3,prepozicio
ĝoja	radość	3,radiko
tra	przez	3,prepozicio
strato	ulica	3,radiko
tago	dzień	3,radiko
kuko	ciasto	3,radiko
ni	my	3,pronomo
manĝi	jeść	3,radiko
diri	mówić	3,radiko
sufiĉa	wystarczająco	3,radiko
mono	pieniądze	3,radiko
kompreni	rozumieć	3,radiko
ebl	możliwość	3,sufikso
cent	pięćdziesiąt	3,cifero
dolaro	dolar	3,radiko
ho	ach, och	3,interjekcio
riĉa	boagty	3,radiko
kelnero	kelner	3,radiko
porti	nosić	3,radiko
multa	wiele	3,radiko
nova	nowy	3,radiko
serĉi	szukać	3,radiko
unu	jeden	3,cifero
loko	miejsce	3,radiko
alia	inny	3,radiko
vizaĝo	twarz	3,radiko
fini	kończyć	3,radiko
per	przy pomocy, przez	3,prepozicio
forta	silny	3,radiko
voĉo	głos	3,radiko
okazi	zdarzyć się	3,radiko
scii	wiedzieć	3,radiko
letero	list	4,radiko
vera	prawda	4,radiko
foto	zdjęcie	4,radiko
kiam	kiedy	4,tabelvorto
re	powtórzenie, re-	4,prefikso
el	od, z, ze	4,prepozicio
rapida	szybki	4,radiko
tie	tam	4,tabelvorto
stari	stać	4,radiko
Vera	Wera	4,nomo
mano	ręka	4,radiko
koleri	złość	4,radiko
iĝ	stawać się, zostać, zostawać	4,sufikso
ruĝa	czerwony	4,radiko
fali	spaść	4,radiko
pardoni	przebaczyć	4,radiko
doni	dać	4,radiko
ricevi	otrzymywać	4,radiko
leciono	lekcja	4,radiko
plu	w dalszym ciągu, dalej, nadal	4,adverbo
os	Czasownik w czasie przyszłym	4,finaĵo
devi	musieć	4,radiko
fermi	zamykać	4,radiko
pordo	drzwi	4,radiko
sinjoro	pan, P.	5,radiko
vendi	sprzedawać	5,radiko
aŭto	samochód	5,radiko
kiu	kto, którego	5,tabelvorto
plaĉi	podobać się	5,radiko
demandi	pytać	5,radiko
plej	najwięcej, najbardziej	5,adverbo
tiu	tamta, tamten, tamto	5,tabelvorto
ĉi	ten, ta, ów	5,partikulo
ĉiu	każdy, wszyscy	5,tabelvorto
pli	więcej, bardziej	5,adverbo
ol	niż	5,konjunkcio
tre	bardzo	5,adverbo
certa	pewny, pewien	5,radiko
kosti	kosztować	5,radiko
bedaŭri	żałować	5,radiko
ind	godny, godzien, wart	5,sufikso
aĉeti	kupować	5,radiko
ĉar	bo, ponieważ	5,konjunkcio
veturi	jechać	5,radiko
dum	podczas	5,prepozicio
tio	tamto	5,tabelvorto
edzo	mąż	5,radiko
Maja	Maja	6,nomo
et	mały, zdrobnienie	6,sufikso
ul	osoba	6,sufikso
tri	trzy	6,cifero
ig	spowodować coś	6,sufikso
sana	zdrowy	6,radiko
alta	wysoki	6,radiko
temperaturo	temperatura	6,radiko
resti	zostawać	6,radiko
morgaŭ	jutro	6,adverbo
voki	dzwonić	6,radiko
doktoro	doktor, lekarz	6,radiko
je	przyimek uniwersalny	6,prepozicio
naŭ	dziewięć	6,cifero
horo	godzina	6,radiko
por	dla	6,prepozicio
helpi	pomoc	6,radiko
montri	pokazać	6,radiko
piedo	piedo	6,radiko
vesti	ubrać się	6,radiko
ĉio	wszystko	6,tabelvorto
fine	w końcu	6,vorto
semajno	tydzień	6,radiko
sub	pod, poniżej	6,prepozicio
teo	herbata	6,radiko
mateno	rano	6,radiko
vespero	wieczór	6,radiko
deziri	pragnąć	6,radiko
trankvila	spokojny	6,radiko
farti	czuć się, mieć się	6,radiko
eg	wielki, powiększenie	6,sufikso
Karlo	Karol	6,nomo
hm	hm	6,interjekcio
dormi	spać	7,radiko
suno	słońce	7,radiko
subita	nagle	7,radiko
ek	początek lub chwilowość akcji, start!, naprzód!	7,prefikso
salti	skakać	7,radiko
ĉiam	zawsze	7,tabelvorto
frua	wcześnie	7,radiko
hodiaŭ	dziś, dzisiaj	7,adverbo
meti	kłaść	7,radiko
aĵ	rzecz, przedmiot	7,sufikso
kuri	biec	7,radiko
laŭ	według	7,prepozicio
homo	człowiek	7,radiko
kia	jaki, jaka, jakie	7,tabelvorto
saĝa	mądry	7,radiko
knabo	chłopiec	7,radiko
baldaŭ	wkrótce, wnet, niebawem	7,adverbo
it	przeszły bierna	7,participo
nek	ani (… ani)	7,konjunkcio
pensi	myśleć	7,radiko
diablo	diabeł	7,radiko
memori	pamiętać	7,radiko
dimanĉo	niedziela	7,radiko
raporti	raport	8,radiko
noto	notować	8,radiko
aĉ	wskazuje na niepożądaną jakość	8,sufikso
kapo	głowa	8,radiko
kiom	ile	8,tabelvorto
da	zastępuje dopełniacz (po słowach oznaczających miarę, wagę itp.)	8,prepozicio
ĉe	u, przy	8,prepozicio
ludi	grać, bawić się	8,radiko
mem	sam, osobiście	8,partikulo
tiom	tyle	8,tabelvorto
kvankam	chociaż	8,konjunkcio
tiam	wtedy	8,tabelvorto
aŭdi	słyszeć	8,radiko
vorto	słowo	8,radiko
tuj	natychmiast	8,adverbo
respondi	odpowiadać	8,radiko
kara	drogi	8,radiko
problemo	problem	8,radiko
pri	o	8,prepozicio
muziko	muzyka	8,radiko
ridi	śmiać się	8,radiko
tamen	jednak	8,adverbo
Petro	Piotr	9,nomo
Maria	Maria	9,nomo
vojaĝi	journey	9,radiko
lando	kraj	9,radiko
libera	wolny	9,radiko
tempo	czas	9,radiko
decidi	decydować	9,radiko
italio	Włochy	9,radiko
urbo	miasto	9,radiko
feliĉa	szczęśliwy	9,radiko
kie	gdzie	9,tabelvorto
forgesi	zapominać	9,radiko
esperi	mieć nadzieję	9,radiko
us	Czasownik w trybie przypuszczającym	9,finaĵo
komenci	zaczynać	9,radiko
jam	już	9,adverbo
vagono	wagon	9,radiko
ar	grupa, zbiór	9,sufikso
nenio	nic	9,tabelvorto
sekreto	sekret	9,radiko
onklo	wujek	9,radiko
Bonifacio	Bonifacy	9,nomo
plena	pełny	9,radiko
um	niejasno określone znaczenie	9,sufikso
sia	siebie, się	9,radiko
uzi	używać	9,radiko
domo	dom (budynek)	9,radiko
ad	ciągła czynność	9,sufikso
atendi	czekać	9,radiko
do	więc	9,adverbo
kial	dlaczego	9,tabelvorto
neniam	nigdy	9,tabelvorto
kiel	jak	10,tabelvorto
pasi	mijać	10,radiko
naski	rodzić	10,radiko
kelka	niektóry	10,radiko
familio	rodzina	10,radiko
an	członek grupy	10,sufikso
iom	trochę, ileś	10,tabelvorto
trovi	znaleźć	10,radiko
almenaŭ	co najmniej, przynajmniej	10,adverbo
ordo	porządkować	10,radiko
io	coś	10,tabelvorto
manki	brakować	10,radiko
lakto	mleko	10,radiko
necesa	potrzebować	10,radiko
anstataŭ	zamiast	10,prepozicio
intereso	zaciekawiać	10,radiko
ekskurso	wycieczka	10,radiko
klubo	klub	10,radiko
ĵeti	rzucać	10,radiko
ia	jakiś	10,tabelvorto
uj	pojemnik, drzewo, kraj	10,sufikso
ĝusta	poprawny	10,radiko
for	daleko	10,prefikso
inter	pomiędzy, między	10,prepozicio
sama	taki sam	10,radiko
fojo	raz, pewnego razu	10,radiko
rajti	mieć prawo	10,radiko
proponi	proponować	10,radiko
du	dwa	10,cifero
parto	część	10,radiko
sukceso	sukces	10,radiko
iu	ktoś	10,tabelvorto
ideo	pomysł	10,novaj
tro	za, zbyt	10,adverbo
ec	cecha, atrybut, własność	10,sufikso
reala	rzeczywisty	10,radiko
silento	milczeć	10,radiko
daŭri	trwać	10,radiko
nu	cóż	10,interjekcio
minuto	minuta	10,radiko
telefono	telefon	10,radiko
viziti	odwiedzać	10,radiko
dolĉa	słodki	10,radiko
atenti	uważać	10,radiko
dika	gruby, tłusty	10,radiko
ŝanĝi	zmieniać	10,radiko
opinii	opinia	10,radiko
sen	bez	10,prepozicio
sola	sam	10,radiko
Veneci	Wenecja	11,radiko
Sankt-Mark	Święty Marek	11,nomo
placo	plac	11,radiko
milito	wojna	11,radiko
maro	morze	11,radiko
ŝipo	statek	11,radiko
gondolo	gondola	11,radiko
movi	ruszać	11,radiko
mezo	środek	11,radiko
proksima	blisko	11,radiko
granda	duży, wielki	11,radiko
oni	zaimek nieosobowy	11,pronomo
facila	łatwy	11,radiko
lumo	światło	11,radiko
flanko	strona	11,radiko
Stefan	Stefan	11,nomo
krii	krzyczeć	11,radiko
turko	turecki	11,radiko
renkonti	spotykać	11,radiko
sekvi	podążać	11,radiko
Pietro	Pietro	11,nomo
koni	znać	11,radiko
akvo	woda	11,radiko
tiel	tak (w ten sposób)	11,tabelvorto
Ĝorĝo	Ĝorĝo	11,nomo
preni	brać	11,radiko
estro	dowódca, szef	11,sufikso
preskaŭ	prawie	11,adverbo
morti	umierać	11,radiko
grava	ważny	11,radiko
Ĝino	Ĝino	11,nomo
halti	zatrzymać	11,radiko
apud	obok, przy	11,prepozicio
dek	dziesięć	11,cifero
jaro	rok	11,radiko
koloro	kolor	11,radiko
Jakopo	Jacopo	11,nomo
tial	dlatego	11,tabelvorto
timi	strach	11,radiko
sendi	wysyłać	11,radiko
doĝo	doża	11,radiko
bezoni	potrzebować	11,radiko
pagi	płacić	11,radiko
er	cząstka, oddzielna jednostka	11,sufikso
afero	sprawa	11,radiko
se	jeśli, jeżeli	11,konjunkcio
pano	chleb	11,radiko
Don Kamilo	Don Camillo	11,nomo
ĝis	do, aż	11,prepozicio
S-ro	Pan - P.	12,mallongigo
Pipelbom	Pipelbom	12,nomo
peza	ciężki	12,radiko
larĝa	szeroki	12,radiko
korpo	ciało	12,radiko
aspekto	wygląd, aspekt	12,radiko
rolo	rola	12,radiko
fakto	fakt	12,radiko
respekti	szanować	12,radiko
kontenta	usatysfakcjonowany	12,radiko
ofte	częsty	12,radiko
utila	użyteczny	12,radiko
prezenti	przedstawiać	12,radiko
ĝeni	przeszkadzać, dręczyć	12,radiko
nokto	noc	12,radiko
arbo	drzewo	12,radiko
ĉefo	szef	12,radiko
vojo	droga	12,radiko
ekster	oprócz, poza	12,prepozicio
sovaĝa	dziki	12,radiko
bruo	hałas	12,radiko
krom	oprócz, z wyjątkiem	12,prepozicio
tuŝi	dotykać	12,radiko
naturo	natura	12,radiko
ĝenerali	ogólny	12,radiko
seki	suchy	12,radiko
paŝi	krok	12,radiko
vivi	żyć	12,radiko
dolori	ból, boleć	12,radiko
agrabla	miły	12,radiko
ju	im (więcej, mneij)	12,partikulo
kastelo	zamek	12,radiko
des	tym (więcej, mniej)	12,partikulo
Adriano	Adrian	12,nomo
viro	mężczyzna	12,radiko
kapabla	zdolny	12,radiko
industrio	przemysł	12,radiko
polico	policja	12,radiko
persono	osoba	12,radiko
simila	podobny	12,radiko
lasta	ostatni	12,radiko
laŭta	głośny	12,radiko
orelo	ucho	12,radiko
momento	moment	12,radiko
ambaŭ	oba, obie, obydwaj	12,adverbo
direkti	kierunek	12,radiko
zorgi	dbać	12,radiko
situacio	sytuacja	12,radiko
branĉo	gałąź	12,radiko
rekta	bezpośredni	12,radiko
besto	zwierzę	12,radiko
promeni	spacerować	12,radiko
kavo	jaskinia	12,radiko
odoro	zapach	12,radiko
preta	gotowy	12,radiko
ajn	wcale, -kolwiek	12,partikulo
efektiva	efektywnie, faktycznie, rzeczywiście	12,radiko
miri	dziwić się	12,radiko
koro	serce	12,radiko
ŝajni	wydawać (się)	12,radiko
supri	nad	12,radiko
buŝo	usta	12,radiko
provi	próbować	12,radiko
kapti	złapać	12,radiko
lampo	lampa	12,radiko
paco	pokój (brak wojny)	12,radiko
formo	forma	12,radiko
teni	trzymać	12,radiko
sono	brzmieć	12,radiko
aŭtoritato	autorytet	12,radiko
nuuuu	noooo	12,interjekcio
eee	eee	12,interjekcio
fuŝi	psuć, rujnować, schrzanić	12,radiko
klara	wyraźny	12,radiko
eĉ	nawet, aż	12,adverbo
tono	ton	12,radiko
ha	ha	12,interjekcio
bieno	farma, gospodarstwo	12,radiko
grafo	hrabia	12,radiko
monto	góra	12,radiko
kalva	łysy	12,radiko
inviti	zapraszać	12,radiko
peti	prosić	12,radiko
teroro	terror	12,radiko
kontroli	sprawdzać	12,radiko
ĉirkaŭ	około	12,prepozicio
akcepti	akceptować	12,radiko
perdi	zgubić	12,radiko
