Marko	Marcos	1,nomo
esti	ser, estar, haver	1,radiko
as	Presente	1,finaĵo
mi	eu	1,pronomo
a	Adjetivo	1,finaĵo
amiko	amigo, amiga	1,radiko
o	Substantivo	1,finaĵo
li	ele	1,pronomo
lerni	aprender	1,radiko
ant	ativo no presente	1,participo
kaj	e	1,konjunkcio
sporto	esporte	1,radiko
ist	profissão, associação habitual	1,sufikso
nun	agora	1,adverbo
sidi	sentar, estar sentado	1,radiko
en	em	1,prepozicio
ĉambro	quarto, sala	1,radiko
sur	sobre (por cima)	1,prepozicio
tablo	mesa	1,radiko
papero	papel	1,radiko
j	Plural	1,finaĵo
libro	livro	1,radiko
ĝi	ele, ela, isso	1,pronomo
skribi	escrever	1,radiko
la	o, a, os, as	1,artikolo
patro	pai	1,radiko
in	feminino	1,sufikso
de	de (propriedade)	1,prepozicio
ne	não	1,partikulo
ili	eles	1,pronomo
labori	trabalhar	1,radiko
hotelo	hotel	1,radiko
instrui	ensinar, ensinamento	1,radiko
ŝi	ela	1,pronomo
havi	ter	2,radiko
n	Acusativo	2,finaĵo
nomo	nome, nomear	2,radiko
Ana	Ana	2,nomo
juna	jovem	2,radiko
bela	belo, bela	2,radiko
ge	ambos os sexos	2,prefikso
veni	vir	2,radiko
is	Passado	2,finaĵo
al	a, na direção de	2,prepozicio
hejmo	lar, doméstico	2,radiko
bona	bom, boa	2,radiko
voli	querer, desejo	2,radiko
u	Imperativo	2,finaĵo
iri	ir, andar	2,radiko
i	Infinitivo	2,finaĵo
saluto	saudar, saudação	2,radiko
kio	o que	2,tabelvorto
vi	você (singular ou plural)	2,pronomo
fari	fazer	2,radiko
legi	ler	2,radiko
sed	mas	2,konjunkcio
paroli	falar, fala	2,radiko
kun	com	2,prepozicio
ĉu	começa perguntas (sim/não)	2,partikulo
jes	sim	2,adverbo
ŝati	gostar	2,radiko
nur	apenas	2,adverbo
trinki	beber	2,radiko
kafo	café	2,radiko
frato	irmão	2,radiko
jen	eis	2,partikulo
ankoraŭ	ainda	2,adverbo
varma	quente	2,radiko
kuiri	cozinhar	2,radiko
danki	agradecer	2,radiko
povi	ser capaz de, poder	2,radiko
ankaŭ	também	2,adverbo
mal	oposto	2,prefikso
rigardi	olhar para	2,radiko
okulo	olho	2,radiko
vidi	ver, vista	2,radiko
ke	que	2,konjunkcio
ami	amor, amar	2,radiko
longa	longo, longa	3,radiko
e	Adverbio	3,finaĵo
antaŭ	antes, na frente de	3,prepozicio
ej	lugar	3,sufikso
post	depois	3,prepozicio
ĝoja	alegre, alegria	3,radiko
tra	através de, por entre	3,prepozicio
strato	rua	3,radiko
