Marko	Марко	1,nomo
esti	быть	1,radiko
as	Настоящее время глагола	1,finaĵo
mi	я	1,pronomo
a	Прилагательное	1,finaĵo
amiko	друг	1,radiko
o	Существительное	1,finaĵo
li	он	1,pronomo
lerni	изучать	1,radiko
ant	активное причастие настоящего времени	1,participo
kaj	и	1,konjunkcio
sporto	спорт	1,radiko
ist	-ист-, профессия, определённый род занятий	1,sufikso
nun	сейчас, теперь	1,adverbo
sidi	сидеть	1,radiko
en	в	1,prepozicio
ĉambro	комната	1,radiko
sur	над	1,prepozicio
tablo	стол	1,radiko
papero	бумага	1,radiko
j	Множественное число	1,finaĵo
libro	книга	1,radiko
ĝi	оно	1,pronomo
skribi	писать	1,radiko
la	определённый артикль	1,artikolo
patro	отец	1,radiko
in	женщина, феминитив	1,sufikso
de	родительный падеж	1,prepozicio
ne	нет, не	1,partikulo
ili	они	1,pronomo
labori	работать	1,radiko
hotelo	гостиница, отель	1,radiko
instrui	обучать	1,radiko
ŝi	она	1,pronomo
havi	иметь	2,radiko
n	Винительный падеж	2,finaĵo
nomo	имя	2,radiko
Ana	Ана	2,nomo
juna	молодой	2,radiko
bela	красивый	2,radiko
ge	группа лиц обоего пола, пара с женщиной и мужчиной	2,prefikso
veni	приходить	2,radiko
is	Прошедшее время глагола	2,finaĵo
al	к, на, в, дательный падеж	2,prepozicio
hejmo	дом	2,radiko
bona	хороший	2,radiko
voli	желать, хотеть	2,radiko
u	Повелительное наклонение	2,finaĵo
iri	идти	2,radiko
i	Инфинитив	2,finaĵo
saluto	приветствие, привет	2,radiko
kio	что	2,tabelvorto
vi	ты, вы (вежливое обращение или мн. ч)	2,pronomo
fari	делать	2,radiko
legi	читать	2,radiko
sed	но	2,konjunkcio
paroli	говорить	2,radiko
kun	с, со	2,prepozicio
ĉu	ли, разве (вопросительная частица)	2,partikulo
jes	да	2,adverbo
ŝati	оценить, ценить, нравится	2,radiko
nur	только, лишь	2,adverbo
trinki	пить	2,radiko
kafo	кофе	2,radiko
frato	брат	2,radiko
jen	вот, вон	2,partikulo
ankoraŭ	ещё	2,adverbo
varma	тёплый	2,radiko
kuiri	готовить (пищу)	2,radiko
danki	благодарить	2,radiko
povi	мочь	2,radiko
ankaŭ	тоже, также	2,adverbo
mal	наоборот, противоположность	2,prefikso
rigardi	смотреть	2,radiko
okulo	око, глаз	2,radiko
vidi	видеть	2,radiko
ke	что, чтобы	2,konjunkcio
ami	любовь	2,radiko
longa	длинный	3,radiko
e	Наречие	3,finaĵo
antaŭ	перед, прежде	3,prepozicio
ej	место	3,sufikso
post	после	3,prepozicio
ĝoja	радость	3,radiko
tra	через, сквозь	3,prepozicio
strato	улица	3,radiko
tago	день	3,radiko
kuko	торт	3,radiko
ni	мы	3,pronomo
manĝi	есть	3,radiko
diri	сказать	3,radiko
sufiĉa	достаточно	3,radiko
mono	деньги	3,radiko
kompreni	понимать	3,radiko
ebl	возможность	3,sufikso
cent	сто	3,cifero
dolaro	доллар	3,radiko
ho	ого	3,interjekcio
riĉa	богатый	3,radiko
kelnero	официант, кельнер	3,radiko
porti	нести, носить	3,radiko
multa	много	3,radiko
nova	новый	3,radiko
serĉi	искать	3,radiko
unu	один	3,cifero
loko	место	3,radiko
alia	другой	3,radiko
vizaĝo	лик, лицо	3,radiko
