Marko	Marek	1,nomo
esti	byť	1,radiko
as	koncovka pre sloveso v prítomnom čase	1,finaĵo
mi	ja	1,pronomo
a	koncovka pre prídavné meno	1,finaĵo
amiko	priateľ	1,radiko
o	koncovka pre podstatné meno	1,finaĵo
li	on	1,pronomo
lerni	učiť sa	1,radiko
ant	príčastie činné prítomné	1,participo
kaj	a	1,konjunkcio
sporto	šport	1,radiko
ist	povolanie	1,sufikso
nun	teraz	1,adverbo
sidi	sedieť	1,radiko
en	v, vo, do	1,prepozicio
ĉambro	izba	1,radiko
sur	na	1,prepozicio
tablo	stôl	1,radiko
papero	papier	1,radiko
j	koncovka pre množné číslo	1,finaĵo
libro	kniha	1,radiko
ĝi	ono	1,pronomo
skribi	písať	1,radiko
la	určitý člen	1,artikolo
patro	otec	1,radiko
in	ženský rod	1,sufikso
de	od	1,prepozicio
ne	nie, ne- (zápor)	1,partikulo
ili	oni/ony	1,pronomo
labori	pracovať	1,radiko
hotelo	hotel	1,radiko
instrui	učiť, školiť	1,radiko
ŝi	ona	1,pronomo
havi	mať, vlastniť	2,radiko
n	koncovka pre akuzatív	2,finaĵo
nomo	meno	2,radiko
Ana	Anna	2,nomo
juna	mladý	2,radiko
bela	krásny	2,radiko
ge	obsahujúci jedincov oboch pohlaví	2,prefikso
veni	prísť	2,radiko
is	koncovka pre sloveso v minulom čase	2,finaĵo
al	k, ku	2,prepozicio
hejmo	domov, domácnosť	2,radiko
bona	dobrý	2,radiko
voli	chcieť	2,radiko
u	koncovka pre rozkazovací spôsob	2,finaĵo
iri	ísť	2,radiko
i	koncovka pre neurčitok (infinitív)	2,finaĵo
saluto	zdraviť	2,radiko
kio	čo	2,tabelvorto
vi	ty/vy/Vy	2,pronomo
fari	robiť	2,radiko
legi	čítať	2,radiko
sed	ale	2,konjunkcio
paroli	hovoriť	2,radiko
kun	s, so	2,prepozicio
ĉu	či (začiatok otázky zisťovacej)	2,partikulo
jes	áno	2,adverbo
ŝati	mať rád	2,radiko
nur	iba, len	2,adverbo
trinki	piť	2,radiko
kafo	káva	2,radiko
frato	brat	2,radiko
jen	tu (zvolanie)	2,partikulo
ankoraŭ	ešte	2,adverbo
varma	teplý	2,radiko
kuiri	variť	2,radiko
danki	ďakovať	2,radiko
povi	môcť, dokázať	2,radiko
ankaŭ	tiež	2,adverbo
mal	opak	2,prefikso
rigardi	dívať sa	2,radiko
okulo	oko	2,radiko
vidi	vidieť	2,radiko
ke	že	2,konjunkcio
ami	láska	2,radiko
longa	dlhý	3,radiko
e	koncovka pre príslovku	3,finaĵo
antaŭ	pred	3,prepozicio
ej	miesto	3,sufikso
post	po, za (miestne aj časovo)	3,prepozicio
ĝoja	radostný	3,radiko
tra	cez, skrz	3,prepozicio
strato	ulica	3,radiko
tago	deň	3,radiko
kuko	koláč	3,radiko
ni	my	3,pronomo
manĝi	jesť	3,radiko
diri	povedať	3,radiko
sufiĉa	dostatočný	3,radiko
mono	peniaze	3,radiko
kompreni	rozumieť	3,radiko
ebl	možnosť	3,sufikso
cent	sto	3,cifero
dolaro	dolár	3,radiko
ho	oh	3,interjekcio
riĉa	bohatý	3,radiko
kelnero	čašník	3,radiko
porti	niesť	3,radiko
multa	mnoho, veľa	3,radiko
nova	nový	3,radiko
serĉi	hľadať	3,radiko
unu	jeden	3,cifero
loko	miesto	3,radiko
alia	iný	3,radiko
vizaĝo	tvár	3,radiko
fini	ukončiť	3,radiko
per	pomocou, (inštrumentál, s, so)	3,prepozicio
forta	silný	3,radiko
voĉo	hlas	3,radiko
okazi	stať sa	3,radiko
scii	vedieť, ovládať	3,radiko
letero	list	4,radiko
vera	pravda	4,radiko
foto	foto	4,radiko
kiam	kedy, keď	4,tabelvorto
re	znovu, opakovanie	4,prefikso
el	z, zo	4,prepozicio
rapida	rýchly	4,radiko
tie	tam	4,tabelvorto
stari	stáť	4,radiko
Vera	Viera	4,nomo
mano	ruka	4,radiko
koleri	hnev	4,radiko
iĝ	stať sa	4,sufikso
ruĝa	červený	4,radiko
fali	padať	4,radiko
pardoni	odpustiť	4,radiko
doni	dať	4,radiko
ricevi	dostať	4,radiko
leciono	lekcia	4,radiko
plu	ďalej	4,adverbo
os	koncovka pre sloveso v budúcom čase	4,finaĵo
devi	musieť	4,radiko
fermi	zavrieť	4,radiko
pordo	dvere	4,radiko
sinjoro	pán	5,radiko
vendi	predať	5,radiko
aŭto	auto	5,radiko
kiu	kto, ktorý	5,tabelvorto
plaĉi	páčiť sa	5,radiko
demandi	pýtať sa, požiadať	5,radiko
plej	naj (3. stupeň prídavných mien)	5,adverbo
tiu	ten	5,tabelvorto
ĉi	tu (vyjadrenie blízkosti)	5,partikulo
ĉiu	každý, všetok	5,tabelvorto
pli	viac (2. stupeň prídavných mien)	5,adverbo
ol	než	5,konjunkcio
tre	veľmi	5,adverbo
certa	istý, určitý	5,radiko
kosti	stáť (o cene)	5,radiko
bedaŭri	ľutovať	5,radiko
ind	hodný (niečoho)	5,sufikso
aĉeti	kúpiť	5,radiko
ĉar	pretože, lebo	5,konjunkcio
veturi	cestovať	5,radiko
dum	behom, počas	5,prepozicio
tio	to	5,tabelvorto
edzo	manžel	5,radiko
Maja	Maja	6,nomo
et	zmenšenie	6,sufikso
ul	prípona znamenajúca živú bytosť, alebo vec majúcu vlastnosť slovného kmeňa	6,sufikso
tri	tri	6,cifero
ig	urobiť niečo nejakým, spôsobiť	6,sufikso
sana	zdravý	6,radiko
alta	výška	6,radiko
temperaturo	teplota	6,radiko
resti	zostať	6,radiko
morgaŭ	zajtra	6,adverbo
voki	volať	6,radiko
doktoro	doktor	6,radiko
je	(neurčitá predložka)	6,prepozicio
naŭ	deväť	6,cifero
horo	hodina	6,radiko
por	pre, na, za (účelovo)	6,prepozicio
helpi	pomôcť	6,radiko
montri	ukázať	6,radiko
piedo	noha	6,radiko
vesti	obliecť, šatiť	6,radiko
ĉio	všetko	6,tabelvorto
fine	nakoniec	6,vorto
semajno	týždeň	6,radiko
sub	pod	6,prepozicio
teo	čaj	6,radiko
mateno	ráno	6,radiko
vespero	večer	6,radiko
deziri	priať, želať	6,radiko
trankvila	pokojný	6,radiko
farti	cítiť sa, mať sa	6,radiko
eg	zväčšenie	6,sufikso
Karlo	Karol	6,nomo
hm	hm	6,interjekcio
dormi	spať	7,radiko
suno	slnko	7,radiko
subita	náhly	7,radiko
ek	začiatok akcie, náhlosť	7,prefikso
salti	skákať	7,radiko
ĉiam	vždy	7,tabelvorto
frua	včas, skoro	7,radiko
hodiaŭ	dnes	7,adverbo
meti	položiť	7,radiko
aĵ	vec, predmet, konkrétna záležitosť	7,sufikso
kuri	bežať	7,radiko
laŭ	podľa, pozdĺž	7,prepozicio
homo	človek	7,radiko
kia	aký	7,tabelvorto
saĝa	múdry	7,radiko
knabo	chlapec	7,radiko
baldaŭ	čoskoro	7,adverbo
it	príčastie trpné minulé	7,participo
nek	ani	7,konjunkcio
pensi	myslieť	7,radiko
diablo	diabol	7,radiko
memori	pamätať	7,radiko
dimanĉo	nedeľa	7,radiko
raporti	správa	8,radiko
noto	známka (na vysvedčení), poznámka, nota, nóta	8,radiko
aĉ	zhoršená kvalita	8,sufikso
kapo	hlava	8,radiko
kiom	koľko	8,tabelvorto
da	(predložka množstva)	8,prepozicio
ĉe	u, pri	8,prepozicio
ludi	hrať	8,radiko
mem	sám, osobne	8,partikulo
tiom	toľko	8,tabelvorto
kvankam	hoci	8,konjunkcio
tiam	vtedy	8,tabelvorto
aŭdi	počuť	8,radiko
vorto	slovo	8,radiko
tuj	okamžite, hneď, ihneď	8,adverbo
respondi	odpovedať	8,radiko
kara	drahý (milý)	8,radiko
problemo	problém	8,radiko
pri	o	8,prepozicio
muziko	hudba	8,radiko
ridi	smiať sa	8,radiko
