Marko	Marko	1,nomo
esti	vara, finnas	1,radiko
as	Verb i presens	1,finaĵo
mi	jag	1,pronomo
a	Adjektiv	1,finaĵo
amiko	vän	1,radiko
o	Substantiv	1,finaĵo
li	han	1,pronomo
lerni	lära sig	1,radiko
ant	aktiv pågående handling	1,participo
kaj	och	1,konjunkcio
sporto	sport	1,radiko
ist	en som ofta sysslar med något, yrkesman	1,sufikso
nun	nu	1,adverbo
sidi	sitta	1,radiko
en	i	1,prepozicio
ĉambro	rum	1,radiko
sur	på	1,prepozicio
tablo	bord	1,radiko
papero	papper	1,radiko
j	Plural	1,finaĵo
libro	bok	1,radiko
ĝi	den, det	1,pronomo
skribi	skriva	1,radiko
la	(bestämd artikel)	1,artikolo
patro	fader, far	1,radiko
in	kvinna, hona	1,sufikso
de	från, av	1,prepozicio
ne	nej, inte	1,partikulo
ili	de	1,pronomo
labori	arbete, jobb	1,radiko
hotelo	hotell	1,radiko
instrui	lära (någon), lära ut, undervisa	1,radiko
ŝi	hon	1,pronomo
havi	ha	2,radiko
n	Objekt	2,finaĵo
nomo	namn	2,radiko
Ana	Ana	2,nomo
juna	ung	2,radiko
bela	vacker, snygg	2,radiko
ge	bägge könen	2,prefikso
veni	komma	2,radiko
is	Verb i dåtid	2,finaĵo
al	till, åt	2,prepozicio
hejmo	hem	2,radiko
bona	bra, god	2,radiko
voli	vilja	2,radiko
u	Verb i imperativ	2,finaĵo
iri	gå, åka	2,radiko
i	Infinitiv	2,finaĵo
saluto	hälsa	2,radiko
kio	vad	2,tabelvorto
vi	du, ni	2,pronomo
fari	göra	2,radiko
legi	läsa	2,radiko
sed	men	2,konjunkcio
paroli	tala, prata	2,radiko
kun	(tillsammans) med	2,prepozicio
ĉu	(frågepartikeln), huruvida, månne, om	2,partikulo
jes	ja	2,adverbo
ŝati	tycka om, gilla	2,radiko
nur	bara, endast	2,adverbo
trinki	dricka	2,radiko
kafo	kaffe	2,radiko
frato	bror	2,radiko
jen	se här, här är	2,partikulo
ankoraŭ	ännu, fortfarande	2,adverbo
varma	varm	2,radiko
kuiri	laga (mat)	2,radiko
danki	tacka	2,radiko
povi	kunna	2,radiko
ankaŭ	även, också	2,adverbo
mal	motsatsen	2,prefikso
rigardi	titta	2,radiko
okulo	öga	2,radiko
vidi	se	2,radiko
ke	att	2,konjunkcio
ami	kärlek, älska	2,radiko
longa	lång	3,radiko
e	Adverb	3,finaĵo
antaŭ	framför, före	3,prepozicio
ej	plats, lokal	3,sufikso
post	efter	3,prepozicio
ĝoja	glad	3,radiko
tra	genom	3,prepozicio
strato	gata	3,radiko
tago	dag	3,radiko
kuko	kaka	3,radiko
ni	vi	3,pronomo
manĝi	äta	3,radiko
diri	säga	3,radiko
sufiĉa	tillräcklig	3,radiko
mono	pengar	3,radiko
kompreni	förstå	3,radiko
ebl	möjlig att göraas	3,sufikso
cent	hundra	3,cifero
dolaro	dollar	3,radiko
ho	åh	3,interjekcio
riĉa	rik	3,radiko
kelnero	kypare, servitör	3,radiko
porti	bära	3,radiko
multa	många	3,radiko
nova	ny	3,radiko
serĉi	söka, leta	3,radiko
unu	ett	3,cifero
loko	plats	3,radiko
alia	annan	3,radiko
vizaĝo	ansikte	3,radiko
fini	slut	3,radiko
per	med (hjälp av)	3,prepozicio
forta	stark	3,radiko
voĉo	röst	3,radiko
okazi	hända, inträffa	3,radiko
scii	veta	3,radiko
letero	brev	4,radiko
vera	sann, verklig	4,radiko
foto	foto	4,radiko
kiam	när	4,tabelvorto
re	åter, tillbaka, på nytt	4,prefikso
el	ut ur, utav (ursprung, urval m.m.)	4,prepozicio
rapida	snabb	4,radiko
tie	där	4,tabelvorto
stari	stå	4,radiko
Vera	Vera	4,nomo
mano	hand	4,radiko
koleri	arg	4,radiko
iĝ	bli	4,sufikso
ruĝa	röd	4,radiko
fali	falla	4,radiko
pardoni	förlåta	4,radiko
doni	ge	4,radiko
ricevi	få	4,radiko
leciono	lektion	4,radiko
plu	vidare, ytterligare, mer (om tid)	4,adverbo
os	Verb i futurum	4,finaĵo
devi	måsta, vara tvungen	4,radiko
fermi	stänga	4,radiko
pordo	dörr	4,radiko
sinjoro	herre, herr	5,radiko
vendi	sälja	5,radiko
aŭto	bil	5,radiko
kiu	vem, vilken	5,tabelvorto
plaĉi	behaga	5,radiko
demandi	fråga	5,radiko
plej	mest	5,adverbo
tiu	den där personen, den där, det där	5,tabelvorto
ĉi	(anger närhet), här	5,partikulo
ĉiu	alla, varje	5,tabelvorto
pli	mer	5,adverbo
ol	än (vid jämförelse)	5,konjunkcio
tre	mycket (i hög grad)	5,adverbo
certa	säker	5,radiko
kosti	kosta	5,radiko
bedaŭri	beklaga	5,radiko
ind	värd att göras	5,sufikso
aĉeti	köpa	5,radiko
ĉar	därför att, eftersom	5,konjunkcio
veturi	åka (med fordon)	5,radiko
dum	medan, under	5,prepozicio
tio	det där	5,tabelvorto
edzo	make, man	5,radiko
Maja	Maja	6,nomo
et	försvagning, förminskning	6,sufikso
ul	person med en viss egenskap	6,sufikso
tri	tre	6,cifero
ig	göra, förvandla, förmå	6,sufikso
sana	frisk	6,radiko
alta	hög	6,radiko
temperaturo	temperatur	6,radiko
resti	stanna kvar, förbli	6,radiko
morgaŭ	imorgon	6,adverbo
voki	kalla, ropa	6,radiko
doktoro	doktor	6,radiko
je	obestämd preposition	6,prepozicio
naŭ	nio	6,cifero
horo	timme	6,radiko
por	för	6,prepozicio
helpi	hjälpa	6,radiko
montri	visa, peka ut	6,radiko
piedo	fot	6,radiko
vesti	klä	6,radiko
ĉio	allting	6,tabelvorto
