Marko	Marko	1,nomo
esti	olmak, -dir, -im vs (yardımcı fiil)	1,radiko
as	Fiil şimdiki zaman eki	1,finaĵo
mi	ben	1,pronomo
a	Sıfat eki	1,finaĵo
amiko	arkadaş	1,radiko
o	İsim eki	1,finaĵo
li	o (erkek)	1,pronomo
lerni	öğrenmek	1,radiko
ant	şimdiki zaman aktif	1,participo
kaj	ve	1,konjunkcio
sporto	spor	1,radiko
ist	meslek	1,sufikso
nun	şimdi	1,adverbo
sidi	oturmak	1,radiko
en	-e, -ye, içeri, içine	1,prepozicio
ĉambro	oda	1,radiko
sur	üstünde	1,prepozicio
tablo	masa	1,radiko
papero	kağıt	1,radiko
j	Çoğul eki	1,finaĵo
libro	kitap	1,radiko
ĝi	o (nötr)	1,pronomo
skribi	yazmak	1,radiko
la	(belirleyici artikel)	1,artikolo
patro	baba	1,radiko
in	kadın	1,sufikso
de	-den	1,prepozicio
ne	hayır, (olumsuzluk kelimesi)	1,partikulo
ili	onlar	1,pronomo
labori	çalışmak	1,radiko
hotelo	otel	1,radiko
instrui	öğretmek	1,radiko
ŝi	o (kadın)	1,pronomo
havi	sahip olmak	2,radiko
n	Akuzatif durumu eki	2,finaĵo
nomo	isim	2,radiko
Ana	Anna	2,nomo
juna	genç	2,radiko
bela	güzel	2,radiko
ge	her iki cinse dair	2,prefikso
veni	gelmek	2,radiko
is	Fiil geçmiş zaman eki	2,finaĵo
al	-e, -a, yönünde	2,prepozicio
hejmo	ev	2,radiko
bona	iyi	2,radiko
voli	istemek	2,radiko
u	Fiil emir eki	2,finaĵo
iri	gitmek	2,radiko
i	Fiil mastar formu eki	2,finaĵo
saluto	merhaba	2,radiko
kio	ne	2,tabelvorto
vi	sen, siz (tekil ve çoğul)	2,pronomo
fari	yapmak	2,radiko
legi	okumak	2,radiko
sed	fakat, ama	2,konjunkcio
paroli	konuşmak	2,radiko
kun	ile	2,prepozicio
ĉu	mu? mıdır? vs (Soru cümlesi başlatır)	2,partikulo
jes	Evet	2,adverbo
ŝati	beğenmek	2,radiko
nur	yalnız	2,adverbo
trinki	içmek	2,radiko
kafo	kahve	2,radiko
frato	kardeş	2,radiko
jen	işte	2,partikulo
ankoraŭ	hala	2,adverbo
varma	sıcak	2,radiko
kuiri	yemek yapmak, pişirmek	2,radiko
danki	teşekkür etmek	2,radiko
povi	yapabilmek, edebilmek, -bilmek	2,radiko
ankaŭ	de, da	2,adverbo
mal	zıt	2,prefikso
rigardi	bakmak	2,radiko
okulo	göz	2,radiko
vidi	görmek	2,radiko
ke	ki	2,konjunkcio
ami	sevmek; sevgi, aşk	2,radiko
longa	uzun	3,radiko
e	Zarf eki	3,finaĵo
antaŭ	önce, önünde	3,prepozicio
ej	yer	3,sufikso
post	sonra	3,prepozicio
ĝoja	memnun, hoşnut	3,radiko
tra	içinden	3,prepozicio
strato	sokak	3,radiko
tago	gün	3,radiko
kuko	kek	3,radiko
ni	biz	3,pronomo
manĝi	yemek	3,radiko
diri	söylemek, demek	3,radiko
sufiĉa	yeterli	3,radiko
mono	para	3,radiko
kompreni	anlamak, kavramak	3,radiko
ebl	olasılık	3,sufikso
cent	yüz	3,cifero
dolaro	dolar	3,radiko
ho	oh	3,interjekcio
riĉa	zengin	3,radiko
kelnero	garson	3,radiko
