Marko	Марко	1,nomo
esti	бути	1,radiko
as	дієслово в теперішньому часі	1,finaĵo
mi	я	1,pronomo
a	прикметник	1,finaĵo
amiko	друг	1,radiko
o	іменник	1,finaĵo
li	він	1,pronomo
lerni	вчити	1,radiko
ant	активний дієприкметник і дієприслівник теперішнього часу	1,participo
kaj	і	1,konjunkcio
sporto	спорт	1,radiko
ist	особу певної професії, оcобу, що є прихильником громадського руху, наукового чи філософського напрямку	1,sufikso
nun	зараз, тепер	1,adverbo
sidi	сидіти	1,radiko
en	в, у	1,prepozicio
ĉambro	кімната	1,radiko
sur	на	1,prepozicio
tablo	стіл	1,radiko
papero	папір	1,radiko
j	множина	1,finaĵo
libro	книжка	1,radiko
ĝi	він, вона, воно (особовий займенник, що стосується неживих предметів та істот, стать яких невідома або не виражена у явній формі).	1,pronomo
skribi	писати	1,radiko
la	означений артикль	1,artikolo
patro	батько	1,radiko
in	жіночий рід	1,sufikso
de	приймменник, що служить для передачі родового відмінку, від, з, зі (простір), від, з (час)	1,prepozicio
ne	не, ні	1,partikulo
ili	вони	1,pronomo
labori	працювати	1,radiko
hotelo	готель	1,radiko
instrui	учити, навчати, викладати, наставляти	1,radiko
ŝi	вона	1,pronomo
havi	мати (дієслово)	2,radiko
n	знахідний відмінок	2,finaĵo
nomo	ім'я	2,radiko
Ana	Анна	2,nomo
juna	молодий	2,radiko
bela	красивий	2,radiko
ge	префікс, що  позначає осіб обох статей	2,prefikso
veni	приходити	2,radiko
is	дієслово в минулому часі	2,finaĵo
al	прийменник, що відповідає давальному відмінку, до	2,prepozicio
hejmo	дім, домівка, домашнє вогнище	2,radiko
bona	добрий	2,radiko
voli	хотіти	2,radiko
u	наказовий спосіб дієслова	2,finaĵo
iri	йти	2,radiko
i	неозначена форма дієслова	2,finaĵo
saluto	вітати	2,radiko
kio	що	2,tabelvorto
vi	ти, ви	2,pronomo
fari	робити	2,radiko
legi	читати	2,radiko
sed	але	2,konjunkcio
paroli	говорити	2,radiko
kun	з	2,prepozicio
ĉu	чи	2,partikulo
jes	так	2,adverbo
ŝati	цінувати, любити	2,radiko
nur	лише, лиш, тільки, лишень	2,adverbo
trinki	пити (воду)	2,radiko
kafo	кава	2,radiko
frato	брат	2,radiko
jen	ось	2,partikulo
ankoraŭ	ще, крім того	2,adverbo
varma	жаркий	2,radiko
kuiri	варити	2,radiko
danki	дякувати	2,radiko
povi	могти	2,radiko
ankaŭ	також	2,adverbo
mal	префікс, що позначає пряму протилежність	2,prefikso
rigardi	дивитись	2,radiko
okulo	око	2,radiko
vidi	бачити	2,radiko
ke	що	2,konjunkcio
ami	кохати, любити	2,radiko
longa	довгий	3,radiko
e	прислівник, дієприслівник	3,finaĵo
antaŭ	перед, заздалегідь	3,prepozicio
ej	місце	3,sufikso
post	після	3,prepozicio
ĝoja	-радіти - радуватися -тішитися -веселитися	3,radiko
tra	через, крізь	3,prepozicio
strato	вулиця	3,radiko
tago	день	3,radiko
kuko	пиріг	3,radiko
ni	ми	3,pronomo
manĝi	їсти	3,radiko
diri	казати, мовити, говорити	3,radiko
sufiĉa	достатній	3,radiko
mono	гроші	3,radiko
kompreni	розуміти	3,radiko
ebl	пасивна можливість	3,sufikso
cent	сто	3,cifero
o		3,
ho	о	3,interjekcio
riĉa	багатий	3,radiko
kelnero	кельнер	3,radiko
porti	нести, носити	3,radiko
multa	багато	3,radiko
nova	новий	3,radiko
serĉi	шукати	3,radiko
unu	один	3,cifero
loko	місце	3,radiko
alia	інший	3,radiko
vizaĝo	обличчя	3,radiko
fini	кінчати, закінчувати, завершувати, припиняти	3,radiko
per	прийменник, найчастіше вживається для передачі орудного відмінку, за допомогою	3,prepozicio
forta	сильний, міцний, дужий	3,radiko
voĉo	голос	3,radiko
okazi	траплятися, ставатися, відбуватися, проходити	3,radiko
scii	знати	3,radiko
letero	лист	4,radiko
vera	правда	4,radiko
foto	світлина, фото	4,radiko
kiam	коли	4,tabelvorto
re	префікс, що позначає зворотну або повторну дію	4,prefikso
el	з, зі	4,prepozicio
rapida	швидкий	4,radiko
tie	там	4,tabelvorto
stari	стояти	4,radiko
Vera	Віра	4,nomo
mano	рука	4,radiko
koleri	сердитись	4,radiko
iĝ	робитися/ставати  яким-небудь, ким-небудь, чим-небудь	4,sufikso
ruĝa	червоний	4,radiko
fali	падати, знижуватися, зменшуватися	4,radiko
pardoni	прощати	4,radiko
doni	давати	4,radiko
ricevi	отримувати	4,radiko
leciono	лекція	4,radiko
plu	більше, більш, далі, ще	4,adverbo
os	дієслово в майбутньому часі	4,finaĵo
devi	мусити, бути зобов'язаним	4,radiko
fermi	закривати, зачиняти	4,radiko
pordo	двері	4,radiko
sinjoro	пан	5,radiko
vendi	продавати	5,radiko
aŭto	автомобіль	5,radiko
kiu	хто	5,tabelvorto
plaĉi	подобатися	5,radiko
demandi	питати	5,radiko
plej	най-, найбільш	5,adverbo
tiu	той	5,tabelvorto
ĉi	-незмінна частка, що позначає близькість	5,partikulo
ĉiu	кожен, усякий	5,tabelvorto
pli	більше (частка), більш	5,adverbo
ol	ніж (більше/менше... ніж)	5,konjunkcio
tre	дуже, вельми	5,adverbo
certa	упевнений	5,radiko
kosti	коштувати	5,radiko
bedaŭri	жалкувати	5,radiko
