Marko	馬克	1,nomo
esti	是	1,radiko
as	現在式動詞	1,finaĵo
mi	我	1,pronomo
a	形容詞	1,finaĵo
amiko	朋友	1,radiko
o	名詞	1,finaĵo
li	他	1,pronomo
lerni	學	1,radiko
ant	現在式, 主動	1,participo
kaj	和	1,konjunkcio
sporto	運動	1,radiko
ist	職業, 某理念支持者	1,sufikso
nun	現在	1,adverbo
sidi	坐	1,radiko
en	在內, 入內	1,prepozicio
ĉambro	房間	1,radiko
sur	在...上面	1,prepozicio
tablo	桌子	1,radiko
papero	紙張	1,radiko
j	複數	1,finaĵo
libro	書	1,radiko
ĝi	它	1,pronomo
skribi	寫	1,radiko
la	那, 這	1,artikolo
patro	父親	1,radiko
in	雌性	1,sufikso
de	屬, 從	1,prepozicio
ne	不, 沒	1,partikulo
ili	他們	1,pronomo
labori	工作	1,radiko
hotelo	旅館	1,radiko
instrui	教	1,radiko
ŝi	她	1,pronomo
havi	有	2,radiko
n	賓格	2,finaĵo
nomo	名字	2,radiko
Ana	安娜	2,nomo
juna	年輕	2,radiko
bela	美麗	2,radiko
ge	兩性兼有	2,prefikso
veni	來	2,radiko
is	過去式動詞	2,finaĵo
al	向, 往	2,prepozicio
hejmo	家	2,radiko
bona	好	2,radiko
voli	想要	2,radiko
u	祈使動詞	2,finaĵo
iri	去	2,radiko
i	不定詞	2,finaĵo
saluto	敬禮, 問好	2,radiko
kio	何物	2,tabelvorto
vi	你	2,pronomo
fari	做	2,radiko
legi	讀	2,radiko
sed	但是	2,konjunkcio
paroli	說	2,radiko
kun	跟, 與	2,prepozicio
ĉu	是否, 是不是, 嗎	2,partikulo
jes	是的	2,adverbo
ŝati	喜歡	2,radiko
nur	只是	2,adverbo
trinki	飲, 喝	2,radiko
kafo	咖啡	2,radiko
frato	兄弟	2,radiko
jen	瞧, 這是	2,partikulo
ankoraŭ	還沒, 還在	2,adverbo
varma	溫熱	2,radiko
kuiri	煮	2,radiko
danki	謝	2,radiko
povi	可以	2,radiko
ankaŭ	也是	2,adverbo
mal	反義	2,prefikso
rigardi	看	2,radiko
okulo	眼睛	2,radiko
vidi	看	2,radiko
ke	那	2,konjunkcio
ami	愛	2,radiko
longa	長	3,radiko
e	副詞	3,finaĵo
antaŭ	之前, 前面	3,prepozicio
ej	場所	3,sufikso
post	之後	3,prepozicio
ĝoja	高興	3,radiko
tra	穿過	3,prepozicio
strato	街道	3,radiko
tago	天	3,radiko
kuko	蛋糕	3,radiko
ni	我們	3,pronomo
manĝi	吃	3,radiko
diri	說	3,radiko
sufiĉa	充足	3,radiko
mono	錢	3,radiko
kompreni	理解, 明白	3,radiko
ebl	可能	3,sufikso
