Marko	马克	1,nomo
esti	是,词根	1,radiko
as	现在式动词	1,finaĵo
mi	我	1,pronomo
a	形容词	1,finaĵo
amiko	朋友,词根	1,radiko
o	名词	1,finaĵo
li	他	1,pronomo
lerni	学,词根	1,radiko
ant	现在式，主动	1,participo
kaj	和	1,konjunkcio
sporto	运动,词根	1,radiko
ist	职业, 某种理念支持者	1,sufikso
nun	现在	1,adverbo
sidi	坐,词根	1,radiko
en	在內、入內	1,prepozicio
ĉambro	房间,词根	1,radiko
sur	在...上	1,prepozicio
tablo	桌子,词根	1,radiko
papero	纸张,词根	1,radiko
j	复数	1,finaĵo
libro	书,词根	1,radiko
ĝi	它	1,pronomo
skribi	写,词根	1,radiko
la	那个，这个	1,artikolo
patro	父亲,词根	1,radiko
in	雌性	1,sufikso
de	于, 从	1,prepozicio
ne	不, 没	1,partikulo
ili	他们	1,pronomo
labori	工作,词根	1,radiko
hotelo	酒店,词根	1,radiko
instrui	教,词根	1,radiko
ŝi	她	1,pronomo
havi	有,词根	2,radiko
n	宾格	2,finaĵo
nomo	名字,词根	2,radiko
Ana	安娜	2,nomo
juna	年轻,词根	2,radiko
bela	美丽,词根	2,radiko
ge	前辍词表示两个性别在一起	2,prefikso
veni	来,词根	2,radiko
is	过去式动词	2,finaĵo
al	向, 往一个方向	2,prepozicio
hejmo	家,词根	2,radiko
bona	好,词根	2,radiko
voli	要,词根	2,radiko
u	祈使动词	2,finaĵo
iri	去,词根	2,radiko
i	不定性	2,finaĵo
saluto	敬礼、祝福,词根	2,radiko
kio	什么东西	2,tabelvorto
vi	你	2,pronomo
fari	做,词根	2,radiko
legi	读,词根	2,radiko
sed	但是	2,konjunkcio
paroli	说,词根	2,radiko
kun	和	2,prepozicio
ĉu	是否 (问句的开始)	2,partikulo
jes	是的	2,adverbo
ŝati	喜欢,词根	2,radiko
nur	只是	2,adverbo
trinki	饮，喝,词根	2,radiko
kafo	咖啡,词根	2,radiko
frato	兄/弟,词根	2,radiko
jen	这里	2,partikulo
ankoraŭ	还没, 还在	2,adverbo
varma	热,词根	2,radiko
kuiri	煮,词根	2,radiko
danki	谢谢,词根	2,radiko
povi	可以,词根	2,radiko
ankaŭ	也是	2,adverbo
mal	反义词的前辍	2,prefikso
rigardi	看,词根	2,radiko
okulo	眼睛,词根	2,radiko
vidi	看,词根	2,radiko
ke	那	2,konjunkcio
ami	爱,词根	2,radiko
longa	长,词根	3,radiko
e	副词	3,finaĵo
antaŭ	之前, 前面	3,prepozicio
ej	地方	3,sufikso
post	之后	3,prepozicio
ĝoja	高兴,词根	3,radiko
tra	通过	3,prepozicio
strato	街道,词根	3,radiko
tago	天,词根	3,radiko
kuko	蛋糕,词根	3,radiko
ni	我们	3,pronomo
manĝi	吃,词根	3,radiko
diri	说,词根	3,radiko
sufiĉa	充足,词根	3,radiko
mono	钱,词根	3,radiko
kompreni	理解，明白,词根	3,radiko
ebl	可能	3,sufikso
cent	一百	3,cifero
dolaro	元 （钱）,词根	3,radiko
ho	哦	3,interjekcio
riĉa	富,词根	3,radiko
kelnero	服务员，侍应生,词根	3,radiko
porti	带,词根	3,radiko
multa	多,词根	3,radiko
nova	新,词根	3,radiko
serĉi	寻找,词根	3,radiko
unu	一	3,cifero
loko	地点,词根,词根	3,radiko
alia	另一个,词根	3,radiko
vizaĝo	脸,词根	3,radiko
fini	结束,词根	3,radiko
per	通过某种工具，媒体, 和	3,prepozicio
forta	壮,词根	3,radiko
voĉo	声音,词根	3,radiko
okazi	发生,词根	3,radiko
scii	知道、明了,词根	3,radiko
letero	书信,词根	4,radiko
vera	真,词根	4,radiko
foto	相片,词根	4,radiko
kiam	什么时候，何时	4,tabelvorto
re	重新, 再来	4,prefikso
el	从, 里头的	4,prepozicio
rapida	快,词根	4,radiko
tie	那里	4,tabelvorto
stari	站立,词根	4,radiko
Vera	维拉	4,nomo
mano	手,词根	4,radiko
koleri	生气,词根	4,radiko
iĝ	向新状态、新地点的转变	4,sufikso
ruĝa	红,词根	4,radiko
fali	掉,词根	4,radiko
pardoni	饶恕,词根	4,radiko
doni	给,词根	4,radiko
ricevi	接获，收到,词根	4,radiko
leciono	课,词根	4,radiko
plu	进一步, 再	4,adverbo
os	未来式动词	4,finaĵo
devi	必需、一定,词根	4,radiko
